case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2013-0040,2013.0,2013-03-26,,9.862,9.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2013-0053,2013.0,2013-05-15,,22.73,5.0,1.0,0.0,0.15,5.0,0.0,0,0,0,0
C14-2013-0060,2013.0,2013-05-24,,1.834,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2013-0087,2013.0,2013-07-12,2014-01-29 16:00:58,0.0,9.0,1.0,80.0,4.3,50.0,-5750.0,0,0,0,0
C14-2013-0095,2013.0,2013-08-01,2013-11-21 15:21:35,0.3069,6.0,1.0,0.0,0.15,15.0,-33560.0,0,0,0,0
C14-2013-0096,2013.0,2013-08-01,2013-11-21 15:46:44,0.5734,6.0,1.0,0.0,0.15,15.0,-33560.0,0,0,0,0
C14-2013-0097,2013.0,2013-08-01,2013-11-21 16:06:34,0.9868,6.0,1.0,0.0,0.15,15.0,-33560.0,0,0,0,0
C14-2013-0098,2013.0,2013-08-01,2013-11-21 16:14:18,0.7292,6.0,1.0,0.0,0.15,15.0,-33560.0,0,0,0,0
C14-2013-0104,2013.0,2013-08-27,2013-12-11 09:28:23,0.24,9.0,1.0,5.0,0.2999999999999999,10.0,0.0,0,0,0,0
C14-2013-0107,2013.0,2013-08-28,,5.383,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2013-0126,2013.0,2013-09-25,,5.957,6.0,0.0,0.0,0.2,5.0,-4250.0,0,0,0,0
C14-2013-0158,2013.0,2013-12-31,2014-12-18 16:42:28,0.2535,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2014-0015,2014.0,2014-02-05,,0.2,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
