case_number,year,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,signers,signer_pct,staff_friction_index
C14-2008-0175,2008.0,0.1955,4.0,1,-25.0,-0.6,-35.0,0.0,1.0,5.964503927844051,0.0
C14-2008-0184,2008.0,0.3059,10.0,1,5.0,0.0999999999999999,5.0,2250.0,10.0,24.00311526479751,0.0
C14-2008-0223,2008.0,0.08,9.0,1,0.0,0.0,0.0,0.0,5.0,34.29158110882957,0.0
C14-2008-0247,2008.0,0.1489,3.0,1,0.0,0.0,0.0,0.0,6.0,13.59075706901794,0.0
C14-2008-0016,2008.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
C14-2009-0028,2009.0,0.165,3.0,1,25.0,1.6,55.0,0.0,12.0,13.41127922971114,0.0
C14-2009-0031,2009.0,0.48,3.0,1,0.0,0.05,0.0,0.0,4.0,18.075375045737285,0.0
C14-2009-0032,2009.0,2.0117,9.0,1,25.0,1.6,55.0,0.0,10.0,42.80059376546264,0.0
C14-2009-0059,2009.0,0.22,3.0,1,25.0,0.6,20.0,0.0,1.0,100.0,0.0
C14-2009-0077,2009.0,0.48,10.0,1,-20.0,-1.25,-40.0,2250.0,1.0,36.32281553398058,0.0
C14-2009-0102,2009.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,100.0,1.0
C14-2009-0106,2009.0,23.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C14-2009-0168,2009.0,4.89,10.0,1,20.0,1.3,45.0,0.0,1.0,90.9090909090909,0.0
C14-2009-0168,2009.0,4.89,10.0,1,20.0,1.3,45.0,0.0,1.0,90.9090909090909,0.0
C14-2009-0099,2009.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
C14-2010-0048,2010.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,100.0,0.0
C14-2010-0049,2010.0,669.83,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
C14-2010-0052,2010.0,18.357,0.0,1,0.0,0.0,0.0,0.0,25.0,100.0,0.0
C14-2010-0052,2010.0,18.357,0.0,1,0.0,0.0,0.0,0.0,25.0,100.0,0.0
C14-2010-0052,2010.0,18.357,0.0,1,0.0,0.0,0.0,0.0,25.0,100.0,0.0
C14-2010-0052,2010.0,18.357,0.0,1,0.0,0.0,0.0,0.0,25.0,100.0,0.0
C14-2010-0051,2010.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.0,0.0,0.5
C14-2010-0017,2010.0,6.689,10.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0017,2010.0,6.689,10.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0025,2010.0,1.011,7.0,0,25.0,1.6,55.0,0.0,7.0,0.0,0.0
C14-2010-0034,2010.0,8.21,5.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0034,2010.0,8.21,5.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0034,2010.0,8.21,5.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0034,2010.0,8.21,5.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0034,2010.0,8.21,5.0,1,0.0,0.0,0.0,0.0,13.0,100.0,0.0
C14-2010-0039,2010.0,0.46,9.0,1,0.0,0.0999999999999999,15.0,0.0,7.0,100.0,0.0
C14-2010-0045,2010.0,8.06,7.0,0,5.0,0.35,15.0,2250.0,22.0,0.0,0.0
C14-2010-0077,2010.0,0.0,5.0,1,5.0,0.2999999999999999,10.0,0.0,9.0,11.011996308828053,0.0
C14-2010-0084,2010.0,0.229,2.0,0,25.0,1.65,55.0,0.0,2.0,0.0,0.0
C14-2010-0084,2010.0,0.229,2.0,0,25.0,1.65,55.0,0.0,2.0,0.0,0.0
C14-2010-0101,2010.0,0.418,9.0,1,25.0,0.6,20.0,0.0,4.0,44.4,0.0
C14-2010-0101,2010.0,0.418,9.0,1,25.0,0.6,20.0,0.0,4.0,44.4,0.0
C14-2010-0101,2010.0,0.418,9.0,1,25.0,0.6,20.0,0.0,4.0,44.4,0.0
C14-2010-0101,2010.0,0.418,9.0,1,25.0,0.6,20.0,0.0,4.0,44.4,0.0
C14-2010-0101,2010.0,0.418,9.0,1,25.0,0.6,20.0,0.0,4.0,44.4,0.0
C14-2010-0113,2010.0,0.358,9.0,0,-5.0,-0.4,-20.0,-2250.0,6.0,0.0,0.0
C14-2010-0113,2010.0,0.358,9.0,0,-5.0,-0.4,-20.0,-2250.0,6.0,0.0,0.0
C14-2010-0122,2010.0,0.06,5.0,1,0.0,0.0,0.0,0.0,3.0,29.82365145228216,0.0
C14-2010-0122,2010.0,0.06,5.0,1,0.0,0.0,0.0,0.0,3.0,29.82365145228216,0.0
C14-2010-0143,2010.0,1.68,3.0,0,0.0,0.0999999999999999,10.0,-3250.0,4.0,0.0,0.0
C14-2010-0143,2010.0,1.68,3.0,0,0.0,0.0999999999999999,10.0,-3250.0,4.0,0.0,0.0
C14-2010-0191.SH,2010.0,3.081,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14-2010-0199,2010.0,1.58,2.0,1,25.0,1.65,55.0,0.0,4.0,25.200692586179755,0.0
C14-2010-0199,2010.0,1.58,2.0,1,25.0,1.65,55.0,0.0,4.0,25.200692586179755,0.0
C14-2010-0199,2010.0,1.58,2.0,1,25.0,1.65,55.0,0.0,4.0,25.200692586179755,0.0
C14-2010-0199,2010.0,1.58,2.0,1,25.0,1.65,55.0,0.0,4.0,25.200692586179755,0.0
C14-2010-0204,2010.0,22.231,0.0,1,-25.0,-1.55,-50.0,-2150.0,2.0,6.5,0.0
C14-2010-0206,2010.0,0.512,9.0,1,20.0,0.3,10.0,0.0,3.0,18.844143867199502,0.0
C14-2010-0206,2010.0,0.512,9.0,1,20.0,0.3,10.0,0.0,3.0,18.844143867199502,0.0
C14H-2010-0006,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,63.0,63.0,0.5
C14H-2010-0006,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,63.0,63.0,0.5
C14H-2010-0006,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,63.0,63.0,0.5
C14H-2010-0006,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,63.0,63.0,0.5
C14H-2010-0019,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,51.0,13.557628247834774,0.5
C14H-2010-0019,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,51.0,13.557628247834774,0.5
C14-2011-0054,2011.0,3.88,10.0,1,0.0,0.0,0.0,0.0,6.0,66.7,0.0
C14-2011-0058,2011.0,0.44,9.0,1,0.0,1.0,35.0,0.0,5.0,29.4,1.0
C14-2011-0058,2011.0,0.44,9.0,1,0.0,1.0,35.0,0.0,5.0,29.4,1.0
C14-2011-0058,2011.0,0.44,9.0,1,0.0,1.0,35.0,0.0,5.0,29.4,1.0
C14-2010-0079,2010.0,0.0,9.0,1,0.0,0.0,0.0,0.0,1.0,3.1,1.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0133,2011.0,2.16,9.0,1,20.0,0.3,10.0,0.0,2.0,7.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0134,2011.0,0.83,9.0,1,20.0,0.3,10.0,0.0,3.0,11.1,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0141,2011.0,9.51,0.0,1,0.0,0.25,25.0,-37810.0,7.0,14.3,0.0
C14-2011-0032,2011.0,0.45,9.0,1,0.0,0.0,0.0,0.0,33.0,31.4,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0052,2012.0,0.0,7.0,1,55.0,2.6,40.0,2250.0,14.0,35.9,0.0
C14-2012-0067,2012.0,10.65,3.0,1,-20.0,-1.25,-40.0,2250.0,3.0,30.0,0.0
C14-2012-0067,2012.0,10.65,3.0,1,-20.0,-1.25,-40.0,2250.0,3.0,30.0,0.0
C14-2012-0067,2012.0,10.65,3.0,1,-20.0,-1.25,-40.0,2250.0,3.0,30.0,0.0
C14-2012-0067,2012.0,10.65,3.0,1,-20.0,-1.25,-40.0,2250.0,3.0,30.0,0.0
C14-2012-0067,2012.0,10.65,3.0,1,-20.0,-1.25,-40.0,2250.0,3.0,30.0,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0083,2012.0,1.8398,9.0,1,0.0,0.0,0.0,0.0,1.0,3.6,0.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0097,2012.0,0.1,7.0,1,0.0,0.0,0.0,0.0,7.0,38.9,1.0
C14-2012-0100,2012.0,1.465,0.0,0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
C14-2012-0100,2012.0,1.465,0.0,0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
C14-2012-0100,2012.0,1.465,0.0,0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
C14-2012-0100,2012.0,1.465,0.0,0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
C14-2012-0100,2012.0,1.465,0.0,0,0.0,1.0,20.0,0.0,0.0,0.0,0.0
C14-2012-0109,2012.0,2.297,5.0,1,0.0,0.0,0.0,0.0,27.0,60.0,0.0
C14-2012-0109,2012.0,2.297,5.0,1,0.0,0.0,0.0,0.0,27.0,60.0,0.0
C14-2012-0109,2012.0,2.297,5.0,1,0.0,0.0,0.0,0.0,27.0,60.0,0.0
C14-2012-0109,2012.0,2.297,5.0,1,0.0,0.0,0.0,0.0,27.0,60.0,0.0
C14-2012-0116,2012.0,0.387,9.0,1,0.0,0.0,15.0,0.0,5.0,31.2,0.0
C14-2012-0130,2012.0,0.811,9.0,1,0.0,0.0,0.0,0.0,2.0,10.5,0.0
C14-2012-0130,2012.0,0.811,9.0,1,0.0,0.0,0.0,0.0,2.0,10.5,0.0
C14-2012-0130,2012.0,0.811,9.0,1,0.0,0.0,0.0,0.0,2.0,10.5,0.0
C14-2012-0130,2012.0,0.811,9.0,1,0.0,0.0,0.0,0.0,2.0,10.5,0.0
C14-2012-0140,2012.0,2.59,0.0,1,0.0,0.0,0.0,0.0,30.0,41.7,0.0
C14-2012-0140,2012.0,2.59,0.0,1,0.0,0.0,0.0,0.0,30.0,41.7,0.0
C14-2012-0140,2012.0,2.59,0.0,1,0.0,0.0,0.0,0.0,30.0,41.7,0.0
C14-2012-0140,2012.0,2.59,0.0,1,0.0,0.0,0.0,0.0,30.0,41.7,0.0
C14-2013-0031,2013.0,1.06,5.0,1,0.0,0.0999999999999999,15.0,0.0,8.0,38.1,0.0
C14-2013-0031,2013.0,1.06,5.0,1,0.0,0.0999999999999999,15.0,0.0,8.0,38.1,0.0
C14-2013-0031,2013.0,1.06,5.0,1,0.0,0.0999999999999999,15.0,0.0,8.0,38.1,0.0
C14-2013-0031,2013.0,1.06,5.0,1,0.0,0.0999999999999999,15.0,0.0,8.0,38.1,0.0
C14-2013-0031,2013.0,1.06,5.0,1,0.0,0.0999999999999999,15.0,0.0,8.0,38.1,0.0
C14-2013-0034,2013.0,0.3277,0.0,1,20.0,0.5,25.0,0.0,4.0,33.3,0.0
C14-2013-0040,2013.0,9.862,9.0,1,25.0,0.6,35.0,0.0,25.0,56.8,0.0
C14-2013-0040,2013.0,9.862,9.0,1,25.0,0.6,35.0,0.0,25.0,56.8,0.0
C14-2013-0040,2013.0,9.862,9.0,1,25.0,0.6,35.0,0.0,25.0,56.8,0.0
C14-2013-0040,2013.0,9.862,9.0,1,25.0,0.6,35.0,0.0,25.0,56.8,0.0
C14-2013-0053,2013.0,22.73,5.0,1,0.0,0.15,5.0,0.0,18.0,31.6,0.0
C14-2013-0053,2013.0,22.73,5.0,1,0.0,0.15,5.0,0.0,18.0,31.6,0.0
C14-2013-0060,2013.0,1.834,2.0,1,0.0,0.0,0.0,0.0,13.0,39.4,0.0
C14-2013-0060,2013.0,1.834,2.0,1,0.0,0.0,0.0,0.0,13.0,39.4,0.0
C14-2013-0060,2013.0,1.834,2.0,1,0.0,0.0,0.0,0.0,13.0,39.4,0.0
C14-2013-0060,2013.0,1.834,2.0,1,0.0,0.0,0.0,0.0,13.0,39.4,0.0
C14-2013-0060,2013.0,1.834,2.0,1,0.0,0.0,0.0,0.0,13.0,39.4,0.0
C14-2013-0087,2013.0,0.0,9.0,1,80.0,4.3,50.0,-5750.0,2.0,18.2,0.0
C14-2013-0095,2013.0,0.3069,6.0,1,0.0,0.15,15.0,-33560.0,6.0,50.0,0.0
C14-2013-0095,2013.0,0.3069,6.0,1,0.0,0.15,15.0,-33560.0,6.0,50.0,0.0
C14-2013-0095,2013.0,0.3069,6.0,1,0.0,0.15,15.0,-33560.0,6.0,50.0,0.0
C14-2013-0096,2013.0,0.5734,6.0,1,0.0,0.15,15.0,-33560.0,8.0,80.0,0.0
C14-2013-0096,2013.0,0.5734,6.0,1,0.0,0.15,15.0,-33560.0,8.0,80.0,0.0
C14-2013-0096,2013.0,0.5734,6.0,1,0.0,0.15,15.0,-33560.0,8.0,80.0,0.0
C14-2013-0097,2013.0,0.9868,6.0,1,0.0,0.15,15.0,-33560.0,7.0,58.3,0.0
C14-2013-0097,2013.0,0.9868,6.0,1,0.0,0.15,15.0,-33560.0,7.0,58.3,0.0
C14-2013-0097,2013.0,0.9868,6.0,1,0.0,0.15,15.0,-33560.0,7.0,58.3,0.0
C14-2013-0098,2013.0,0.7292,6.0,1,0.0,0.15,15.0,-33560.0,10.0,90.9,0.0
C14-2013-0098,2013.0,0.7292,6.0,1,0.0,0.15,15.0,-33560.0,10.0,90.9,0.0
C14-2013-0098,2013.0,0.7292,6.0,1,0.0,0.15,15.0,-33560.0,10.0,90.9,0.0
C14-2013-0104,2013.0,0.24,9.0,1,5.0,0.2999999999999999,10.0,0.0,9.0,40.9,0.0
C14-2013-0104,2013.0,0.24,9.0,1,5.0,0.2999999999999999,10.0,0.0,9.0,40.9,0.0
C14-2013-0126,2013.0,5.957,6.0,0,0.0,0.2,5.0,-4250.0,0.0,0.0,0.0
C14-2013-0107,2013.0,5.383,3.0,1,0.0,0.0,0.0,0.0,3.0,6.1,0.0
C14-2013-0107,2013.0,5.383,3.0,1,0.0,0.0,0.0,0.0,3.0,6.1,0.0
C14-2013-0107,2013.0,5.383,3.0,1,0.0,0.0,0.0,0.0,3.0,6.1,0.0
C14-2013-0022,2013.0,0.9513,9.0,1,25.0,0.6,35.0,0.0,13.0,65.0,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2013-0158,2013.0,0.2535,9.0,1,0.0,0.0,0.0,0.0,4.0,16.7,0.0
C14-2014-0015,2014.0,0.2,10.0,1,0.0,0.0,0.0,0.0,5.0,16.7,0.0
C14-2014-0015,2014.0,0.2,10.0,1,0.0,0.0,0.0,0.0,5.0,16.7,0.0
C14-2014-0031.SH,2014.0,8.948,10.0,0,5.0,0.0999999999999999,5.0,2250.0,0.0,0.0,1.0
C14-2014-0036,2014.0,2.275,7.0,1,25.0,0.6,20.0,0.0,12.0,46.2,0.0
C14-2014-0036,2014.0,2.275,7.0,1,25.0,0.6,20.0,0.0,12.0,46.2,0.0
C14-2014-0036,2014.0,2.275,7.0,1,25.0,0.6,20.0,0.0,12.0,46.2,0.0
C14-2014-0047,2014.0,23.49,10.0,1,25.0,0.65,20.0,0.0,5.0,41.7,0.0
C14-2014-0047,2014.0,23.49,10.0,1,25.0,0.65,20.0,0.0,5.0,41.7,0.0
C14-2014-0047,2014.0,23.49,10.0,1,25.0,0.65,20.0,0.0,5.0,41.7,0.0
C14-2014-0070,2014.0,1.0,3.0,1,0.0,0.0999999999999999,15.0,0.0,1.0,6.7,0.0
C14-2014-0070,2014.0,1.0,3.0,1,0.0,0.0999999999999999,15.0,0.0,1.0,6.7,0.0
C14-2014-0123,2014.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14-2014-0123,2014.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14-2014-0123,2014.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14-2014-0127,2014.0,0.0,0.0,1,0.0,0.0,0.0,0.0,7.0,15.6,0.0
C14-2014-0127,2014.0,0.0,0.0,1,0.0,0.0,0.0,0.0,7.0,15.6,0.0
C14-2014-0159,2014.0,0.0,3.0,1,0.0,0.0,0.0,0.0,2.0,15.4,0.0
C14-2014-0178,2014.0,4.283,10.0,1,5.0,0.35,10.0,0.0,2.0,16.7,0.0
C14-2014-0178,2014.0,4.283,10.0,1,5.0,0.35,10.0,0.0,2.0,16.7,0.0
C14-2014-0178,2014.0,4.283,10.0,1,5.0,0.35,10.0,0.0,2.0,16.7,0.0
C14-2014-0193,2014.0,34.2,7.0,1,-5.0,-0.2999999999999999,-10.0,0.0,3.0,21.4,0.0
C14-2014-0193,2014.0,34.2,7.0,1,-5.0,-0.2999999999999999,-10.0,0.0,3.0,21.4,0.0
C14-2014-0193,2014.0,34.2,7.0,1,-5.0,-0.2999999999999999,-10.0,0.0,3.0,21.4,0.0
C14-2014-0193,2014.0,34.2,7.0,1,-5.0,-0.2999999999999999,-10.0,0.0,3.0,21.4,0.0
C14-2014-0193,2014.0,34.2,7.0,1,-5.0,-0.2999999999999999,-10.0,0.0,3.0,21.4,0.0
C14-2014-0194,2014.0,0.0,3.0,1,25.0,0.6,35.0,0.0,5.0,29.4,0.0
C14H-2014-0014,2014.0,0.0,9.0,1,0.0,0.0,0.0,0.0,47.0,42.7,0.5
C14H-2014-0014,2014.0,0.0,9.0,1,0.0,0.0,0.0,0.0,47.0,42.7,0.5
C14H-2014-0014,2014.0,0.0,9.0,1,0.0,0.0,0.0,0.0,47.0,42.7,0.5
C14-2014-0120,2014.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0119,2015.0,0.0,9.0,1,0.0,0.0,0.0,0.0,16.0,40.0,0.0
C14-2015-0001,2015.0,7.02,1.0,1,5.0,0.1999999999999999,10.0,2250.0,2.0,14.3,0.0
C14-2015-0001,2015.0,7.02,1.0,1,5.0,0.1999999999999999,10.0,2250.0,2.0,14.3,0.0
C14-2015-0001,2015.0,7.02,1.0,1,5.0,0.1999999999999999,10.0,2250.0,2.0,14.3,0.0
C14-2015-0003,2015.0,0.0,2.0,1,0.0,-1.0,-20.0,0.0,19.0,52.8,0.0
C14-2015-0019,2015.0,2.93,0.0,1,0.0,0.0,0.0,0.0,5.0,15.2,0.0
C14-2015-0025,2015.0,0.0,7.0,1,5.0,0.35,15.0,2250.0,5.0,27.8,0.0
C14-2015-0025,2015.0,0.0,7.0,1,5.0,0.35,15.0,2250.0,5.0,27.8,0.0
C14-2015-0025,2015.0,0.0,7.0,1,5.0,0.35,15.0,2250.0,5.0,27.8,0.0
C14-2015-0043,2015.0,0.0,3.0,1,0.0,1.0,20.0,0.0,2.0,18.2,0.0
C14-2015-0043,2015.0,0.0,3.0,1,0.0,1.0,20.0,0.0,2.0,18.2,0.0
C14-2015-0043,2015.0,0.0,3.0,1,0.0,1.0,20.0,0.0,2.0,18.2,0.0
C14-2015-0043,2015.0,0.0,3.0,1,0.0,1.0,20.0,0.0,2.0,18.2,0.0
C14-2015-0047,2015.0,3.561,5.0,1,0.0,0.0,0.0,0.0,8.0,30.8,0.0
C14-2015-0047,2015.0,3.561,5.0,1,0.0,0.0,0.0,0.0,8.0,30.8,0.0
C14-2015-0047,2015.0,3.561,5.0,1,0.0,0.0,0.0,0.0,8.0,30.8,0.0
C14-2015-0047,2015.0,3.561,5.0,1,0.0,0.0,0.0,0.0,8.0,30.8,0.0
C14-2015-0050,2015.0,0.0,4.0,0,5.0,0.0999999999999999,10.0,0.0,0.0,0.0,0.0
C14-2015-0050,2015.0,0.0,4.0,0,5.0,0.0999999999999999,10.0,0.0,0.0,0.0,0.0
C14-2015-0086,2015.0,10.369,1.0,1,20.0,0.5,25.0,0.0,9.0,33.3,0.0
C14-2015-0086,2015.0,10.369,1.0,1,20.0,0.5,25.0,0.0,9.0,33.3,0.0
C14-2015-0086,2015.0,10.369,1.0,1,20.0,0.5,25.0,0.0,9.0,33.3,0.0
C14-2015-0086,2015.0,10.369,1.0,1,20.0,0.5,25.0,0.0,9.0,33.3,0.0
