base_rate,brier_score,ece,elapsed_s,eval_year,f1,fn,fp,horizon,lift@1%,lift@5%,model,n_positive,n_total,pr_auc,precision,recall,roc_auc,run_id,scenario_chain,timestamp,tn,tp,train_end
0.00041616947304842295,0.25839048574822754,0.4967283612130123,21.66,2023,0.0009659036028204385,53,124063,1,21.24081552828436,8.141712861322167,CVAE,113,271524,0.0033215464867200673,0.00048339147458569323,0.5309734513274337,0.5284923661639371,20260219_125720,False,2026-02-19T13:03:28.995289,147348,60,2022
0.00041616947304842295,0.10427746264221754,0.3128985817919821,5.65,2023,0.05721518987341772,0,3724,1,91.15849997555372,20.000294637595758,Diffusion,113,271524,0.03310517945311328,0.02945009121709669,1.0,0.9934562717686134,20260219_125720,False,2026-02-19T13:03:34.819160,267687,113,2022
0.0014776123262420255,0.009770133922938212,0.02415089977498576,9.93,2024,0.251689732861281,9,2316,1,97.75252770594756,19.55050554118951,LogReg,400,270707,0.1474711801220617,0.1444403398596232,0.9775,0.973378140410718,20260219_125720,False,2026-02-19T13:03:45.247059,267991,391,2023
0.0014776123262420255,0.25045540752787365,0.48988692073515894,24.24,2024,0.003679713688030849,181,118412,1,28.25073051348356,8.950231437015146,CVAE,400,270707,0.022799417431260134,0.001846060473232123,0.5475,0.5545663819286959,20260219_125720,False,2026-02-19T13:04:09.747633,151895,219,2023
0.0014776123262420255,0.10978317041009004,0.3193174393863393,5.91,2024,0.11505075768721494,9,6006,1,76.25197173993351,19.55050554118951,Diffusion,400,270707,0.11953436657613101,0.06112240112552759,0.9775,0.9724664085650764,20260219_125720,False,2026-02-19T13:04:15.830025,264301,391,2023
0.0011709514817182876,0.0043852019776881,0.004441200845351386,2.92,2021,0.1814516129032258,180,1038,2,46.03379949253556,9.20675989850711,LogReg,315,269012,0.06353148916185275,0.11508951406649616,0.42857142857142855,0.5420311342610438,20260219_125720,True,2026-02-19T13:04:19.162411,267659,135,2019
0.0011709514817182876,0.25325191675843534,0.4943665784808574,5.51,2021,0.002134816923275974,183,123217,2,22.540688027379478,6.476479376880865,CVAE,315,269012,0.012232832229342547,0.0010701343342872662,0.41904761904761906,0.41917505355504286,20260219_125720,True,2026-02-19T13:04:24.930181,145480,132,2019
0.0011709514817182876,0.059823227004782535,0.22070899696837806,1.95,2021,0.03845240920958937,153,7949,2,51.43086563993628,10.286173127987254,Diffusion,315,269012,0.036381910851990384,0.01997287634077179,0.5142857142857142,0.5206013547684648,20260219_125720,True,2026-02-19T13:04:27.053418,260748,162,2019
0.0009209392106445838,0.016127099229552376,0.043958077997444306,3.93,2022,0.09891563078550648,63,3344,2,74.81708769344142,14.96011021881677,LogReg,250,271462,0.08825746751210381,0.0529595015576324,0.748,0.7547174240077871,20260219_125720,True,2026-02-19T13:04:31.394750,267868,187,2020
0.0009209392106445838,0.2544651158849174,0.4938795227121329,9.72,2022,0.002049727420702247,131,115744,2,25.205756816507,7.760057172327414,CVAE,250,271462,0.011386464970514886,0.00102707508005144,0.476,0.48240685515390175,20260219_125720,True,2026-02-19T13:04:41.376997,155468,119,2020
0.0009209392106445838,0.09206239957395364,0.2904565183232234,2.85,2022,0.1137692716640085,36,3298,2,82.41882387619751,17.120126132763577,Diffusion,250,271462,0.05837512809549625,0.06093394077448747,0.856,0.8523343288645046,20260219_125720,True,2026-02-19T13:04:44.406809,267914,214,2020
0.00041616947304842295,0.011868007735801139,0.0312508120465847,5.57,2023,0.07801173627890921,0,2671,2,100.00883977900553,20.000294637595758,LogReg,113,271524,0.04486913386396104,0.04058908045977012,1.0,0.9948687525886922,20260219_125720,True,2026-02-19T13:04:50.458144,268740,113,2021
0.00041616947304842295,0.25260451936668,0.49557725695726584,14.83,2023,0.0009793200254623207,53,122361,2,16.815645626558453,9.203675408451145,CVAE,113,271524,0.0028189330133242874,0.0004901119905898497,0.5309734513274337,0.5340189745213175,20260219_125720,True,2026-02-19T13:05:05.550202,149050,60,2021
0.00041616947304842295,0.1059584943705363,0.3150298850260361,3.56,2023,0.021943878046412273,0,10073,2,58.41224270278199,20.000294637595758,Diffusion,113,271524,0.029920685561687144,0.011093657961908502,1.0,0.9924454937117704,20260219_125720,True,2026-02-19T13:05:09.265116,261338,113,2021
0.0014776123262420255,0.010050067940671559,0.025872551637462687,7.69,2024,0.251689732861281,9,2316,2,97.75252770594756,19.55050554118951,LogReg,400,270707,0.16597466156591645,0.1444403398596232,0.9775,0.9739015637774828,20260219_125720,True,2026-02-19T13:05:17.494874,267991,391,2022
0.0014776123262420255,0.24990318522952062,0.4942419006373715,19.97,2024,0.004195979002249759,165,111377,2,32.25083394902106,9.400243073513115,CVAE,400,270707,0.023139743593292808,0.0021055083682758125,0.5875,0.5877488929254514,20260219_125720,True,2026-02-19T13:05:37.728009,158930,235,2022
0.0014776123262420255,0.10136135747374077,0.3073371628124056,5.29,2024,0.19851116625310175,0,3230,2,90.25233376431474,20.000517177687477,Diffusion,400,270707,0.13157472690346253,0.11019283746556474,1.0,0.9953247511163233,20260219_125720,True,2026-02-19T13:05:43.185189,267077,400,2022
0.0009209392106445838,0.0038653734375507457,0.003931635733314496,2.85,2022,0.23049894588896697,86,1009,3,67.61544288872513,13.520099609518898,LogReg,250,271462,0.12298818840006441,0.13981244671781756,0.656,0.7185433019187945,20260219_125720,True,2026-02-19T13:05:46.405645,270203,164,2019
0.0009209392106445838,0.251627528252434,0.4968301080769297,5.82,2022,0.0027690259596183714,94,112269,3,29.60676197494473,10.320076033301406,CVAE,250,271462,0.011562974069714212,0.0013875917278185458,0.624,0.6141693656622863,20260219_125720,True,2026-02-19T13:05:52.487345,158943,156,2019
0.0009209392106445838,0.05938364490484169,0.2130413392483078,1.66,2022,0.08984375,66,3662,3,48.01096536477524,16.9601249539527,Diffusion,250,271462,0.03093215524597781,0.04784191367654706,0.736,0.8982774066044275,20260219_125720,True,2026-02-19T13:05:54.303554,267550,184,2019
0.00041616947304842295,0.016064359628024997,0.0441838789706474,3.88,2023,0.061971830985915494,3,3327,3,97.35373783796999,19.46931336403127,LogReg,113,271524,0.04542181928058036,0.03200465522257783,0.9734513274336283,0.9776103367772281,20260219_125720,True,2026-02-19T13:05:58.592897,268084,110,2020
0.00041616947304842295,0.2522811618806143,0.49894219010513124,9.97,2023,0.0009355309137935779,45,145191,3,22.125849508629543,8.141712861322167,CVAE,113,271524,0.003858815316091983,0.0004681293413833222,0.6017699115044248,0.5971134526310112,20260219_125720,True,2026-02-19T13:06:08.867766,126220,68,2020
0.00041616947304842295,0.09322786079873431,0.29087903239877255,2.59,2023,0.04471705579738821,0,4828,3,75.22788832934044,20.000294637595758,Diffusion,113,271524,0.02776530287275833,0.022869864399919046,1.0,0.9920513228753454,20260219_125720,True,2026-02-19T13:06:11.613965,266583,113,2020
0.0014776123262420255,0.011258580656255044,0.03054523266130731,5.44,2024,0.2079798931825322,69,2452,3,82.75213982268194,19.450502955301072,LogReg,400,270707,0.15570199414145897,0.11893639956881064,0.8275,0.972593634275102,20260219_125720,True,2026-02-19T13:06:17.524307,267855,331,2021
0.0014776123262420255,0.25390852328116503,0.4969837874707755,14.73,2024,0.0025148947636298314,232,133036,3,17.000439601034355,6.8001758404137425,CVAE,400,270707,0.007524898375078396,0.0012612233866850845,0.42,0.4236381318278846,20260219_125720,True,2026-02-19T13:06:32.523678,137271,168,2021
0.0014776123262420255,0.09139120704833731,0.28527544800185234,3.65,2024,0.0474196329597241,15,15453,3,88.75229497598819,19.2504977835242,Diffusion,400,270707,0.1343940795879765,0.024308624826366965,0.9625,0.9585255283806928,20260219_125720,True,2026-02-19T13:06:36.329756,254854,385,2021
