case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-04-0176,1,833300.0,833300.0,0.0,0.0,1946689.0,1946689.0,8115800.0,8115800.0,1999.0,,83330.0,83330.0,subject,,
C14-04-0178,1,304920.0,304920.0,0.0,0.0,1895266.0,1895266.0,2000000.0,2000000.0,1984.0,,30492.0,30492.0,subject,,
C14-04-0179,1,1066349.0,1066349.0,0.0,0.0,479041.0,479041.0,1092267.0,1092267.0,,,71089.92,71089.92,subject,,
C14-04-0180,1,898380.0,898380.0,0.0,0.0,102986.0,102986.0,1078200.0,1078200.0,1949.0,,6417.0,6417.0,subject,,
C14-04-0183,1,4795608.0,4795608.0,0.0,0.0,1552169.0,1552169.0,48950000.0,48950000.0,2001.0,,1198901.88,1198901.88,subject,,
C14-04-0184,1,1912110.0,1912110.0,0.0,0.0,1981772.0,1981772.0,8100000.0,8100000.0,2000.0,,318685.0,318685.0,subject,,
C14-04-0185,1,3091200.0,3091200.0,0.0,0.0,179469.0,179469.0,3996857.0,3996857.0,1982.0,,8832.0,8832.0,subject,,
C14-04-0188,1,105975.0,105975.0,0.0,0.0,1911819.0,1911819.0,264907.0,264907.0,1965.0,,7065.0,7065.0,subject,,
C14-04-0190,1,541968.0,541968.0,0.0,0.0,1786604.0,1786604.0,893563.0,893563.0,1940.0,,0.0,0.0,subject,,
C14-04-0191,1,540443.0,540443.0,0.0,0.0,1559509.0,1559509.0,1017215.0,1017215.0,1940.0,,0.0,0.0,subject,,
C14-04-0192,1,541522.0,541522.0,0.0,0.0,1954910.0,1954910.0,825000.0,825000.0,1939.0,,0.0,0.0,subject,,
C14-04-0193,1,540619.0,540619.0,0.0,0.0,2018795.0,2018795.0,985752.0,985752.0,1952.0,,0.0,0.0,subject,,
C14-04-0194,1,578558.0,578558.0,0.0,0.0,1740468.0,1740468.0,1007732.0,1007732.0,1939.0,,0.0,0.0,subject,,
C14-04-0195,1,1131210.0,1131210.0,0.0,0.0,1308284.0,1308284.0,1442419.0,1442419.0,2007.0,,25138.0,25138.0,subject,,
C14-04-0196.01,1,9422600.0,9422600.0,0.0,0.0,1366808.0,1366808.0,9943000.0,9943000.0,1982.0,,85660.0,85660.0,subject,,
C14-04-0196.02,1,3671250.0,3671250.0,0.0,0.0,1851175.0,1851175.0,8140480.0,8140480.0,2015.0,,33375.0,33375.0,subject,,
C14-04-0197,1,124156.0,124156.0,0.0,0.0,1836635.0,1836635.0,124156.0,124156.0,,,1.33,1.33,subject,,
C14-04-0198,1,503547.0,503547.0,0.0,0.0,1640964.0,1640964.0,771052.0,771052.0,1981.0,,6294.34,6294.34,subject,,
C14-04-0199,1,1380000.0,1380000.0,0.0,0.0,280418.0,280418.0,1891257.0,1891257.0,1969.0,,55200.0,55200.0,subject,,
C14-04-0200,1,1007000.0,1007000.0,0.0,0.0,1324378.0,1324378.0,960750.0,960750.0,,,8145.72,8145.72,subject,,
C14-04-0201,1,107206.0,107206.0,0.0,0.0,1811542.0,1811542.0,545550.0,545550.0,1963.0,,0.0,0.0,subject,,
C14-04-0202,1,107250.0,107250.0,0.0,0.0,1360500.0,1360500.0,291806.0,291806.0,1962.0,,7150.0,7150.0,subject,,
C14-04-0203,1,9000190.0,9000190.0,0.0,0.0,1961269.0,1961269.0,16007374.0,16007374.0,2004.0,,900019.0,900019.0,subject,,
C14-04-0207,1,1223688.0,1223688.0,0.0,0.0,1350362.0,1350362.0,2200000.0,2200000.0,1978.0,,407895.84,407895.84,subject,,
C14-04-0209,1,327798.0,327798.0,0.0,0.0,1589652.0,1589652.0,1156504.0,1156504.0,2016.0,,27316.48,27316.48,subject,,
C14-04-0211,1,130157.0,130157.0,0.0,0.0,1831246.0,1831246.0,561487.0,561487.0,,,57600.0,57600.0,subject,,
C14-04-0212,1,9258431.0,9258431.0,0.0,0.0,1984486.0,1984486.0,71000000.0,71000000.0,2008.0,,712187.0,712187.0,subject,,
C14-05-0002,1,3208450.0,3208450.0,0.0,0.0,1961269.0,1961269.0,7800000.0,7800000.0,2006.0,,320845.0,320845.0,subject,,
C14-05-0005,1,0.0,0.0,34675921.0,34675921.0,100067.0,100067.0,34675921.0,34675921.0,,,247685.15,247685.15,subject,,
C14-05-0007,1,204296.0,204296.0,0.0,0.0,1890559.0,1890559.0,607467.0,607467.0,1991.0,,20429.64,20429.64,subject,,
C14-05-0008,1,360156.0,360156.0,0.0,0.0,1279508.0,1279508.0,993929.0,993929.0,2006.0,,30013.0,30013.0,subject,,
