case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-2013-0048,1,629388.0,629388,0.0,0,1325002.0,1325002,5509685.0,5509685,,,189.0,189.0,subject,,
C14-2013-0050,1,98489.0,98489,0.0,0,1411087.0,1411087,275325.0,275325,1984.0,,98489.16,98489.16,subject,,
C14-2013-0053,1,6741455.0,6741455,0.0,0,1926599.0,1926599,48250000.0,48250000,2016.0,,539316.36,539316.36,subject,,
C14-2013-0054,1,107485.0,107485,0.0,0,1993517.0,1993517,107485.0,107485,,,30710.0,30710.0,subject,,
C14-2013-0055,1,0.0,0,0.0,0,1562249.0,1562249,880000.0,880000,,,17615.66,17615.66,subject,,
C14-2013-0057,1,0.0,0,8276400.0,8276400,100073.0,100073,8276400.0,8276400,,,1034550.0,1034550.0,subject,,
C14-2013-0058,1,241758.0,241758,0.0,0,1358303.0,1358303,523848.0,523848,2014.0,,48351.6,48351.6,subject,,
C14-2013-0059,1,402494.0,402494,0.0,0,1358303.0,1358303,1018244.0,1018244,1947.0,,100623.6,100623.6,subject,,
C14-2013-0060,34,122897.5,7343746,0.0,7077565,1529337.0,48352421,349394.5,35044009,2003.0,,0.0,1935023.78,subject,,
C14-2013-0062,1,324000.0,324000,0.0,0,1795425.0,1795425,7005318.0,7005318,,,100.0,100.0,subject,,
C14-2013-0063,1,52502.0,52502,0.0,0,1698070.0,1698070,52502.0,52502,,,145838.88,145838.88,subject,,
C14-2013-0064,1,289591.0,289591,0.0,0,1762981.0,1762981,1098928.0,1098928,2011.0,,18927.54,18927.54,subject,,
C14-2013-0065,1,0.0,0,1445704.0,1445704,1568573.0,1568573,1445704.0,1445704,,,141526.44,141526.44,subject,,
C14-2013-0066,1,1460100.0,1460100,0.0,0,1891458.0,1891458,1460100.0,1460100,,,11775.0,11775.0,subject,,
C14-2013-0067,1,836352.0,836352,0.0,0,1600318.0,1600318,1113000.0,1113000,1948.0,,13939.2,13939.2,subject,,
C14-2013-0070,1,102562.0,102562,0.0,0,1864255.0,1864255,530269.0,530269,2019.0,,0.0,0.0,subject,,
C14-2013-0071,1,0.0,0,29437666.0,29437666,176610.0,176610,28167880.0,28167880,,,216057.6,216057.6,subject,,
