case_number,tcad_id,protested
C14-2010-0025,0226045401,0
C14-2010-0025,0226040111,0
C14-2010-0025,0226040114,0
C14-2010-0045,0266160313,0
C14-2010-0045,0264160801,0
C14-2010-0045,0264160502,0
C14-2010-0045,0266160314,0
C14-2010-0045,0264160705,0
C14-2010-0045,0264160816,0
C14-2010-0045,0266160310,0
C14-2010-0045,0264160704,0
C14-2010-0045,0264160501,0
C14-2010-0045,0266160311,0
C14-2010-0045,0266160401,0
C14-2010-0045,0266160312,0
C14-2010-0045,0264160703,0
C14-2010-0049,0239190251,0
C14-2010-0049,0239190226,0
C14-2010-0049,0239190244,0
C14-2010-0049,0239190401,0
C14-2010-0049,0239190119,0
C14-2010-0049,0239190243,0
C14-2010-0049,0239190229,0
C14-2010-0049,0239190241,0
C14-2010-0049,0239190242,0
C14-2010-0051,0120010917,0
C14-2010-0051,0120010918,0
C14-2010-0051,0120010912,0
C14-2010-0051,0120010908,0
C14-2010-0051,0120010916,0
C14-2010-0051,0120010914,0
C14-2010-0051,0120010933,0
C14-2010-0051,0120010909,0
C14-2010-0051,0120010913,0
C14-2010-0051,0120010919,0
C14-2010-0051,0120010915,0
C14-2010-0051,0120011207,0
C14-2010-0051,0120011206,0
C14-2010-0077,0409120452,0
C14-2010-0077,0409120453,0
C14-2010-0077,0409120420,0
C14-2010-0077,0409120421,0
C14-2010-0077,0409120303,0
C14-2010-0077,0409120305,0
C14-2010-0077,0409120306,0
C14-2010-0077,0409120419,0
C14-2010-0077,0409120454,0
C14-2010-0077,0409120455,0
C14-2010-0077,0409120304,0
C14-2010-0077,0409120445,0
C14-2010-0077,0409120307,0
C14-2010-0077,0409120302,0
C14-2010-0077,0409120424,0
C14-2010-0084,0430111064,0
C14-2010-0084,0430110506,0
C14-2010-0084,0430090203,0
C14-2010-0084,0430110510,0
C14-2010-0084,0430111071,0
C14-2010-0084,0430090202,0
C14-2010-0084,0430111066,0
C14-2010-0084,0430110511,0
C14-2010-0084,0430110508,0
C14-2010-0084,0430111063,0
C14-2010-0084,0430111072,0
C14-2010-0084,0430110509,0
C14-2010-0084,0430111061,0
C14-2010-0084,0430111062,0
C14-2010-0084,0430110507,0
C14-2010-0084,0430111065,0
C14-2010-0113,0110010406,0
C14-2010-0113,0110010507,0
C14-2010-0113,0110010409,0
C14-2010-0113,0110010509,0
C14-2010-0113,0110010408,0
C14-2010-0113,0110010410,0
C14-2010-0113,0110010404,0
C14-2010-0113,0110010405,0
C14-2010-0113,0110010407,0
C14-2010-0113,0110010508,0
C14-2010-0113,0110010510,0
C14-2010-0113,0110010403,0
C14-2010-0113,0110010411,0
C14-2010-0113,0110010506,0
C14-2010-0113,0110010402,0
C14-2010-0122,0401070616,0
C14-2010-0122,0401070608,0
C14-2010-0122,0401070626,0
C14-2010-0122,0401070508,0
C14-2010-0122,0401070617,0
C14-2010-0122,0401070610,0
C14-2010-0122,0401070607,0
C14-2010-0143,0308160418,0
C14-2010-0143,0308160419,0
C14-2010-0143,0308160416,0
C14-2010-0143,0308160417,0
C14-2010-0143,0308160332,0
C14-2010-0143,0308160330,0
C14-2010-0143,0308160329,0
C14-2010-0143,0308160414,0
C14-2010-0143,0308160415,0
C14-2010-0143,0308160327,0
C14-2010-0143,0308160315,0
