pid,year,pcat,lr,diff,adaptive_ens,actual
0424212001,2021,A,0.98653,0.99609,0.986884,1.0
0425130606,2021,A,0.0,0.89651,0.033171,1.0
0425130626,2021,C1,0.0,0.79767,0.388465,1.0
0425130724,2021,A,0.0,0.79616,0.029458,1.0
0425130725,2021,A,0.0,0.70081,0.02593,1.0
0425130726,2021,A,0.0,0.79675,0.02948,1.0
0425130727,2021,A,0.0,0.73415,0.027164,1.0
0425130728,2021,A,0.0,0.86713,0.032084,1.0
0425130729,2021,A,0.0,0.79703,0.02949,1.0
0425130730,2021,A,0.0,0.96453,0.035688,1.0
0425130801,2021,A,0.0,0.69766,0.025813,1.0
0425130802,2021,A,0.0,0.99595,0.03685,1.0
0425130803,2021,A,0.0,0.89635,0.033165,1.0
0425130804,2021,A,0.0,0.66962,0.024776,1.0
0425130805,2021,A,0.0,0.49881,0.018456,1.0
0425130806,2021,A,0.0,0.89469,0.033104,1.0
0425130807,2021,A,0.0,0.69649,0.02577,1.0
0427170506,2021,A,0.0,0.89588,0.033148,1.0
0427170507,2021,A,0.0,0.89671,0.033178,1.0
0427170508,2021,A,0.0,0.89716,0.033195,1.0
0427170509,2021,A,0.0,0.79495,0.029413,1.0
0427170510,2021,A,0.0,0.89892,0.03326,1.0
0427170511,2021,A,0.0,0.89657,0.033173,1.0
0427170512,2021,A,0.0,0.89678,0.033181,1.0
0427170513,2021,A,0.0,0.79612,0.029456,1.0
0427170514,2021,A,0.0,0.69706,0.025791,1.0
0427170515,2021,A,0.0,0.79705,0.029491,1.0
0427170516,2021,A,0.0,0.81934,0.030316,1.0
0427170517,2021,A,0.0,0.99626,0.036862,1.0
0428110102,2021,A,0.0,0.79694,0.029487,1.0
0428110103,2021,F1,0.0,0.00094,0.00094,1.0
0428110122,2021,XV,0.0,0.00078,0.00076,1.0
0430150210,2021,F1,0.96175,0.89748,0.89748,1.0
0430150211,2021,A,0.96831,0.85133,0.963982,1.0
0430150212,2021,XV,0.9999,0.17772,0.199097,1.0
0430150301,2021,C1,0.99802,0.99691,0.997479,1.0
0430150401,2021,A,0.98658,0.73613,0.977313,1.0
0430150402,2021,F1,0.9981,0.4871,0.4871,1.0
0430150404,2021,A,0.98651,0.99623,0.98687,1.0
0430150701,2021,,0.99633,0.21997,0.872112,1.0
0235180317,2021,A,0.01409,0.12329,0.01813,0.0
0231110609,2021,A,0.01404,0.09726,0.017119,0.0
0207160306,2021,A,0.01406,0.1026,0.017336,0.0
0139060423,2021,A,0.01411,0.10316,0.017405,0.0
0150550153,2021,A,0.01417,0.39812,0.028376,0.0
0305031014,2021,A,0.01411,0.30044,0.024704,0.0
0264080419,2021,B,0.29395,0.38803,0.343248,0.0
0262100717,2021,A,0.014,0.10042,0.017198,0.0
R412084,2021,XV,0.03856,0.00079,0.001772,0.0
0217061801,2021,,0.04998,0.00114,0.042166,0.0
0145550703,2021,A,0.01402,0.00093,0.013536,0.0
0401070703,2021,XV,0.38426,0.00088,0.010848,0.0
0307150601,2021,A,0.01401,0.0008,0.013521,0.0
0418401703,2021,A,0.01406,0.19851,0.020885,0.0
0221290509,2021,A,0.01404,0.35667,0.026717,0.0
0215240703,2021,A,0.01399,0.49846,0.031915,0.0
0219361207,2021,A,0.01397,0.29975,0.024544,0.0
0236091305,2021,A,0.01416,0.39233,0.028152,0.0
0111380311,2021,A,0.01426,0.34193,0.026384,0.0
R075323,2021,,0.04998,0.10072,0.058098,0.0
0274200105,2021,A,0.01402,0.10082,0.017232,0.0
0436230803,2021,A,0.01396,0.10033,0.017156,0.0
0406150604,2021,A,0.01404,0.19962,0.020906,0.0
0330181037,2021,O,0.0041,0.20107,0.020055,0.0
0215080214,2021,A,0.01409,0.19999,0.020968,0.0
0428250307,2021,A,0.014,0.19874,0.020835,0.0
0211220321,2021,A,0.01405,0.29757,0.02454,0.0
0145070380,2021,A,0.01419,0.29944,0.024744,0.0
0143061103,2021,A,0.01413,0.20001,0.021008,0.0
0419111212,2021,A,0.01403,0.29568,0.024451,0.0
0225021217,2021,A,0.01419,0.29971,0.024754,0.0
0201060201,2021,A,0.01407,0.29937,0.024626,0.0
0307020613,2021,A,0.01402,0.49657,0.031874,0.0
0278200504,2021,A,0.014,0.00667,0.013729,0.0
0428030422,2021,A,0.01397,0.10051,0.017172,0.0
0412100113,2021,A,0.01404,0.29975,0.024611,0.0
0164051012,2021,A,0.01402,0.19181,0.020598,0.0
0258200306,2021,A,0.0,0.00912,0.000337,0.0
0119110626,2021,A,0.01455,0.19894,0.021372,0.0
0233010407,2021,A,0.01407,0.28706,0.024171,0.0
0141050203,2021,A,0.0142,0.19954,0.021058,0.0
0203550740,2021,A,0.01396,0.38804,0.027801,0.0
0415210710,2021,A,0.01404,0.19842,0.020862,0.0
0123480322,2021,A,0.0141,0.39479,0.028186,0.0
0241221210,2021,A,0.01404,0.09248,0.016942,0.0
0225091010,2021,A,0.01412,0.00176,0.013663,0.0
0138070212,2021,A,0.0141,0.19984,0.020972,0.0
0356310106,2021,E,0.47923,0.8953,0.47923,0.0
0258040104,2021,A,0.014,0.10385,0.017324,0.0
0259020725,2021,A,0.01404,0.09362,0.016984,0.0
0249010717,2021,A,0.01406,0.19886,0.020898,0.0
0417272412,2021,A,0.01399,0.66871,0.038215,0.0
0326180226,2021,A,0.01395,0.29989,0.02453,0.0
0211180956,2021,A,0.01397,0.29995,0.024551,0.0
0205103901,2021,,0.16882,0.1762,0.170001,0.0
0258301026,2021,XV,0.05204,0.20026,0.196406,0.0
0419280220,2021,B,0.29353,0.69725,0.505079,0.0
0164051336,2021,A,0.01403,0.39769,0.028225,0.0
0334032117,2021,A,0.01397,0.28776,0.0241,0.0
0264362948,2021,A,0.01396,0.18774,0.02039,0.0
0329000307,2021,XV,0.01007,0.00229,0.002492,0.0
0237020213,2021,A,0.01413,0.20545,0.021209,0.0
0225250719,2021,A,0.01409,0.4839,0.031473,0.0
0137530614,2021,A,0.01418,0.20586,0.021272,0.0
0254180122,2021,A,0.01402,0.20088,0.020934,0.0
0316100302,2021,A,0.01399,0.10798,0.017468,0.0
0436300410,2021,A,0.01403,0.00397,0.013658,0.0
0202210217,2021,A,0.01416,0.10399,0.017484,0.0
0219361516,2021,A,0.01399,0.09961,0.017158,0.0
0216110813,2021,B,0.29465,0.43954,0.370572,0.0
0254300829,2021,A,0.01397,0.19897,0.020815,0.0
R064813,2021,A,0.01435,0.00997,0.014188,0.0
0443230201,2021,F1,0.17976,0.39872,0.39872,0.0
0147600348,2021,A,0.01404,0.32402,0.025509,0.0
0226100110,2021,A,0.01406,0.48678,0.031551,0.0
0336100122,2021,A,0.014,0.00122,0.013527,0.0
0138040234,2021,A,0.01413,0.10028,0.017318,0.0
R42546,2021,,0.04998,0.00095,0.042135,0.0
0416070716,2021,A,0.01404,0.09229,0.016935,0.0
0254301417,2021,A,0.01397,0.0008,0.013483,0.0
0268330309,2021,A,0.01396,0.00087,0.013476,0.0
0172150444,2021,A,0.0,0.00089,3.3e-05,0.0
0419150528,2021,A,0.01403,0.02485,0.01443,0.0
0409020101,2021,F1,0.47736,0.00086,0.00086,0.0
0252430228,2021,A,0.01396,0.2653,0.02326,0.0
0129150144,2021,A,0.0,0.00081,3e-05,0.0
0256160405,2021,XV,0.01008,0.10373,0.101295,0.0
R075193,2021,B,0.2938,0.37955,0.338733,0.0
0210120803,2021,A,0.01396,0.37942,0.027482,0.0
0204130307,2021,A,0.01411,0.20305,0.021101,0.0
0142270143,2021,A,0.01423,0.11595,0.017994,0.0
0158090127,2021,A,0.01413,0.29917,0.024676,0.0
0402040907,2021,A,0.01411,0.10029,0.017299,0.0
0257060413,2021,A,0.01404,0.00092,0.013555,0.0
0101250609,2021,A,0.01404,0.10008,0.017223,0.0
0262160314,2021,A,0.01403,0.19963,0.020897,0.0
0414400106,2021,A,0.01408,0.29954,0.024642,0.0
0406441212,2021,A,0.01403,0.33867,0.026042,0.0
0215220307,2021,A,0.01403,0.30992,0.024978,0.0
0436281216,2021,A,0.01396,0.17562,0.019941,0.0
0453070504,2021,,0.16882,0.09422,0.156884,0.0
0229080608,2021,A,0.01403,0.20175,0.020976,0.0
0129340405,2021,A,0.06929,0.4988,0.085182,0.0
0116060523,2021,A,0.01466,0.20085,0.021549,0.0
0326430101,2021,A,0.01397,0.21622,0.021453,0.0
0228020222,2021,A,0.01428,0.24423,0.022788,0.0
0418100233,2021,B,0.29382,0.20096,0.245161,0.0
0430090802,2021,C1,0.01371,0.00086,0.007452,0.0
0432340612,2021,A,0.01405,0.19983,0.020924,0.0
0141051110,2021,A,0.01413,0.29786,0.024628,0.0
0159370501,2021,E,0.06799,0.00077,0.06799,0.0
0403010216,2021,F1,0.17947,0.36989,0.36989,0.0
0339110123,2021,F1,0.00484,0.10034,0.10034,0.0
0135050468,2021,A,0.01413,0.10054,0.017327,0.0
0237160311,2021,A,0.01401,0.20002,0.020892,0.0
0113061201,2021,,0.06478,0.29923,0.102292,0.0
R078171,2021,A,0.01415,0.10042,0.017342,0.0
0416402805,2021,A,0.01403,0.10197,0.017284,0.0
0421100720,2021,F1,0.00525,0.00101,0.00101,0.0
0319010152,2021,A,0.01404,0.22867,0.021981,0.0
0414530103,2021,A,0.0141,0.29812,0.024609,0.0
R424433,2021,A,0.01399,0.10043,0.017188,0.0
0338080521,2021,,0.16882,0.10714,0.158951,0.0
0406440109,2021,A,0.01405,0.29945,0.02461,0.0
0420550312,2021,A,0.01416,0.11725,0.017974,0.0
0268180829,2021,A,0.01401,0.20164,0.020952,0.0
0256431237,2021,A,0.01393,0.20044,0.020831,0.0
0268281220,2021,A,0.01397,0.32955,0.025646,0.0
R335081,2021,A,0.01408,0.03037,0.014683,0.0
0239060506,2021,A,0.01406,0.0008,0.013569,0.0
0131230202,2021,A,0.01426,0.10041,0.017448,0.0
R073987,2021,A,0.01404,0.10039,0.017235,0.0
0215240223,2021,C1,0.00466,0.001,0.002878,0.0
0251500204,2021,A,0.014,0.1079,0.017474,0.0
0139500824,2021,A,0.014,0.00578,0.013696,0.0
0243130317,2021,A,0.01405,0.29868,0.024581,0.0
0164071123,2021,A,0.01402,0.09651,0.017072,0.0
0136030212,2021,A,0.01415,0.29839,0.024667,0.0
0246150142,2021,A,0.01406,0.10046,0.017257,0.0
0407270236,2021,F1,0.37009,0.00091,0.00091,0.0
0264160802,2021,B,0.2939,0.69264,0.50284,0.0
0424401023,2021,A,0.01408,0.10081,0.017289,0.0
0206030112,2021,F1,0.00488,0.00084,0.00084,0.0
0250260215,2021,A,0.01406,0.29956,0.024624,0.0
0415040627,2021,A,0.01404,0.3285,0.025675,0.0
0331600208,2021,D1,0.02246,0.00102,0.02246,0.0
0119360207,2021,A,0.01418,0.27213,0.023724,0.0
0422190503,2021,A,0.01404,0.33824,0.026035,0.0
0150600724,2021,C1,0.08879,0.10058,0.094532,0.0
R335951,2021,C1,0.38418,0.20376,0.296315,0.0
0205070110,2021,A,0.01418,0.22341,0.021922,0.0
0202100310,2021,A,0.01403,0.00086,0.013543,0.0
0147600712,2021,,0.04998,0.10042,0.05805,0.0
0246150130,2021,A,0.01402,0.10268,0.0173,0.0
0243231104,2021,A,0.014,0.37329,0.027294,0.0
0226230704,2021,A,0.01408,0.20162,0.021019,0.0
0206100201,2021,A,0.01416,0.10035,0.017349,0.0
0103530108,2021,A,0.0694,0.39846,0.081575,0.0
0210000702,2021,A,0.01419,0.10044,0.017381,0.0
