parcel_id_10,latitude,longitude
0100060926,30.25242880,-97.77037584
0100060927,30.25246992,-97.77054326
0100060928,30.25255749,-97.77067876
0100060929,30.25277898,-97.77034345
0100060930,30.25222421,-97.76909689
0100060931,30.25216379,-97.76893474
0100061001,30.25335643,-97.76983287
0100061002,30.25354068,-97.76980981
0100061003,30.25370476,-97.76979864
0100061005,30.25389035,-97.76965856
0100061007,30.25375437,-97.76943272
0100061008,30.25360276,-97.76925105
0100061009,30.25338266,-97.76918498
0100061010,30.25330855,-97.76905808
0100061012,30.25316917,-97.76879064
0100061013,30.25306126,-97.76865784
0100061014,30.25298045,-97.76847329
0100061016,30.25283625,-97.76812455
0100061017,30.25267556,-97.76824717
0100061024,30.25254586,-97.76828749
0100061030,30.25282408,-97.76905290
0100061047,30.25290291,-97.76921496
0100061048,30.25296006,-97.76934619
0100061054,30.25238238,-97.76842466
0100061055,30.25260384,-97.76860906
0100061056,30.25269178,-97.76877682
0100061057,30.25276200,-97.76892640
0100061101,30.25424174,-97.76894269
0100061102,30.25441691,-97.76891347
0100061103,30.25451760,-97.76877580
0100061104,30.25431623,-97.76835749
0100061105,30.25414253,-97.76845410
0100061106,30.25411886,-97.76861514
0100061107,30.25396960,-97.76866768
0100061108,30.25365789,-97.76875337
0100061109,30.25380986,-97.76886506
0100061110,30.25393788,-97.76894477
0100061111,30.25403028,-97.76906832
0100061112,30.25422078,-97.76924682
0100061201,30.24914342,-97.77108075
0100061202,30.24926149,-97.77102719
0100061203,30.24936339,-97.77087754
0100061205,30.24934925,-97.77038814
0100061208,30.24902971,-97.77050852
0100061210,30.24921197,-97.77048761
0100061301,30.24975182,-97.77055858
0100061302,30.24990959,-97.77054693
0100061303,30.25002981,-97.77047040
0100061304,30.25018284,-97.77035345
0100061305,30.25029886,-97.77016921
0100061308,30.25050355,-97.76956701
0100061310,30.25018967,-97.76985219
0100061311,30.25010961,-97.76995404
0100061312,30.24996629,-97.77005657
0100061313,30.24984596,-97.77013339
0100061314,30.24972583,-97.77021007
0100061315,30.24959311,-97.77023681
0100061402,30.25357802,-97.76816986
0100061403,30.25370867,-97.76812875
0100061404,30.25382695,-97.76802106
0100061405,30.25391130,-97.76792146
0100061406,30.25405446,-97.76788942
0100061407,30.25388552,-97.76753184
0100061408,30.25376837,-97.76762303
0100061409,30.25365183,-97.76769734
0100061410,30.25355325,-97.76781884
0100061411,30.25341179,-97.76785370
0100061412,30.25322182,-97.76784803
0100061414,30.25341867,-97.76835719
0100061501,30.24951597,-97.77071307
0100061601,30.25300823,-97.76807684
0100061701,30.25106889,-97.77375734
0100061801,30.25063633,-97.77278653
0100062001,30.25219775,-97.77299422
0100062101,30.25036276,-97.76972464
0100062201,30.25317080,-97.76896339
0100062301,30.25144254,-97.77050997
0100062401,30.25150561,-97.77281910
0100062501,30.25209549,-97.77331092
0100062601,30.25069890,-97.77012511
0100062701,30.25078389,-97.77260007
0100062801,30.25357223,-97.77112006
0100062901,30.25065618,-97.77374613
0100063001,30.25380200,-97.77228439
0100063101,30.25541170,-97.77141313
0100063201,30.25056893,-97.76995428
0100063301,30.25325860,-97.77258261
0100063401,30.25115476,-97.77142841
0100063501,30.25355559,-97.77062481
0100063601,30.25343007,-97.77066281
0100063701,30.25302452,-97.77078034
0100063801,30.25330919,-97.77017340
0100063901,30.25230474,-97.77141995
0100064001,30.25302360,-97.76950041
0100064101,30.25311021,-97.76964748
0100064201,30.25315655,-97.76984425
0100064301,30.25323225,-97.77000864
0100064401,30.25409487,-97.77186456
0100064501,30.25337416,-97.77077905
0100064601,30.25268834,-97.76830266
0100064701,30.25235972,-97.76842728
0100080101,30.25028406,-97.78033651
0100080102,30.25013122,-97.78048257
0100080103,30.24993871,-97.78054900
0100080301,30.25006043,-97.77987793
0100080302,30.24990611,-97.77972019
0100080303,30.24979137,-97.77953093
0100080304,30.24971883,-97.77935615
0100080305,30.24951742,-97.77949551
0100080306,30.24959829,-97.77964511
0100080307,30.24968218,-97.77988478
0100080308,30.24975897,-97.78010717
0100080401,30.25062926,-97.77955749
0100080402,30.25050285,-97.77935633
0100080403,30.25042772,-97.77915501
0100080404,30.25028772,-97.77898750
0100080405,30.25013987,-97.77910336
0100080406,30.25019561,-97.77931886
0100080407,30.25028147,-97.77951443
0100080408,30.25032583,-97.77969606
0100080505,30.25022165,-97.77774413
0100080506,30.25032933,-97.77799554
0100080507,30.25038346,-97.77812217
0100080508,30.25054013,-97.77844082
0100080509,30.25068650,-97.77819315
0100080510,30.25081841,-97.77804443
0100080516,30.25105564,-97.77790334
0100080517,30.25129540,-97.77778298
0100080518,30.25146910,-97.77754326
0100080519,30.25167674,-97.77740634
0100080520,30.25185120,-97.77724361
0100080521,30.25218566,-97.77720242
0100080524,30.25230479,-97.77705230
0100080525,30.25246679,-97.77690777
0100080526,30.25259472,-97.77664858
0100080527,30.25277761,-97.77653738
0100080528,30.25302068,-97.77647644
0100080529,30.25280858,-97.77616985
0100080530,30.25268733,-97.77625175
0100080531,30.25251629,-97.77636711
0100080532,30.25234106,-97.77651486
0100080533,30.25210026,-97.77655226
0100080534,30.25192726,-97.77669559
0100080535,30.25178692,-97.77683076
0100080536,30.25163789,-97.77707134
0100080537,30.25140786,-97.77713189
0100080538,30.25125328,-97.77726253
0100080539,30.25102529,-97.77734877
0100080540,30.25088632,-97.77744526
0100080541,30.25068929,-97.77750654
0100080542,30.25048230,-97.77767469
0100080543,30.25008478,-97.77757809
0100080601,30.24957629,-97.77901028
0100080602,30.24949014,-97.77882991
0100080603,30.24940393,-97.77864959
0100080604,30.24930071,-97.77849871
0100080605,30.24920484,-97.77829860
0100080606,30.24914514,-97.77810871
0100080607,30.24891348,-97.77830494
0100080608,30.24894871,-97.77849327
0100080609,30.24906884,-97.77861069
0100080610,30.24913709,-97.77877463
0100080611,30.24924338,-97.77898009
0100080612,30.24932882,-97.77916090
0100080701,30.25012573,-97.77864567
0100080702,30.25011857,-97.77846761
0100080703,30.24995750,-97.77829094
0100080704,30.24990539,-97.77810338
0100080705,30.24984941,-97.77793634
0100080707,30.24977159,-97.77771173
0100080708,30.24957925,-97.77809235
0100080709,30.24965394,-97.77825052
0100080710,30.24977986,-97.77842663
0100080711,30.24983965,-97.77861414
0100080712,30.24996067,-97.77876897
0100080801,30.24898920,-97.77780075
0100080802,30.24888123,-97.77764188
0100080803,30.24879340,-97.77746026
0100080804,30.24870558,-97.77727905
0100080805,30.24861998,-97.77710121
0100080806,30.24853442,-97.77692385
0100080807,30.24844868,-97.77674619
0100080808,30.24834246,-97.77660791
0100080809,30.24808358,-97.77671870
0100080810,30.24823962,-97.77680289
0100080811,30.24830396,-97.77699188
0100080812,30.24838489,-97.77716120
0100080813,30.24846590,-97.77733070
0100080814,30.24855066,-97.77750781
0100080815,30.24864095,-97.77769597
0100080902,30.24947477,-97.77719419
0100080903,30.24943863,-97.77706483
0100080904,30.24932545,-97.77687915
0100080905,30.24924335,-97.77671278
0100080906,30.24920528,-97.77650447
0100080908,30.24899013,-97.77608475
0100080909,30.24871237,-97.77634063
0100080910,30.24875582,-97.77651152
0100080911,30.24886078,-97.77671778
0100080912,30.24896572,-97.77686223
0100080913,30.24913605,-97.77703006
0100080914,30.24921572,-97.77719433
0100080915,30.24926757,-97.77740448
0100080916,30.24928796,-97.77761421
0100081204,30.25256058,-97.77755205
0100081205,30.25216399,-97.77787765
0100081206,30.25190804,-97.77799265
0100081207,30.25179042,-97.77823633
0100081208,30.25146217,-97.77817607
0100081209,30.25127706,-97.77829682
0100081210,30.25106122,-97.77852262
0100081211,30.25086302,-97.77859353
0100081212,30.25067146,-97.77870382
0100081213,30.25090025,-97.77902093
0100081214,30.25095614,-97.77946710
0100081215,30.25123483,-97.77928769
0100081216,30.25136789,-97.77898227
0100081217,30.25153382,-97.77887853
0100081218,30.25174854,-97.77888549
0100081219,30.25188288,-97.77869174
0100081220,30.25210057,-97.77858816
0100081221,30.25242550,-97.77829981
0100081223,30.25228449,-97.77858162
0100081225,30.25314930,-97.77776243
0100081227,30.25391685,-97.77657754
0100081229,30.25329649,-97.77701794
0100081230,30.25305537,-97.77709971
0100081233,30.25342856,-97.77765031
0100081234,30.25357942,-97.77756706
0100081235,30.25366861,-97.77739473
0100081238,30.25358993,-97.77680924
0100081305,30.25065857,-97.77711179
0100081311,30.24990702,-97.77553764
0100081312,30.24974998,-97.77598300
0100081313,30.25006542,-97.77605205
0100081314,30.25016583,-97.77629997
0100081315,30.25032666,-97.77651776
0100081317,30.24971937,-97.77625200
0100081319,30.24982569,-97.77656661
0100081325,30.25041490,-97.77705503
0100081401,30.25090719,-97.77690514
0100081402,30.25110337,-97.77667477
0100081403,30.25136423,-97.77659282
0100081404,30.25114283,-97.77634969
0100081405,30.25105707,-97.77616962
0100081406,30.25099390,-97.77588182
0100081407,30.25078552,-97.77572031
0100081408,30.25071339,-97.77553415
0100081409,30.25060232,-97.77531951
0100081410,30.25056651,-97.77503018
0100081411,30.25017447,-97.77534752
0100081412,30.25040280,-97.77553082
0100081413,30.25047278,-97.77570773
0100081414,30.25051410,-97.77588064
0100081416,30.25079369,-97.77635362
0100081417,30.25085044,-97.77653998
0100081501,30.25159421,-97.77531340
0100081502,30.25087128,-97.77484086
0100081503,30.25102128,-97.77502245
0100081504,30.25115055,-97.77521116
0100081505,30.25123618,-97.77540920
0100081506,30.25136088,-97.77557575
0100081507,30.25145181,-97.77579308
0100081508,30.25154828,-97.77600616
0100081509,30.25165957,-97.77618726
0100081510,30.25171715,-97.77644788
0100081601,30.25041490,-97.77705503
0100081701,30.25276394,-97.77727091
0100081801,30.24873833,-97.77790404
0100081901,30.25043932,-97.77676743
0100082001,30.25024400,-97.77711289
0100082101,30.24998519,-97.77679754
0100082201,30.25066275,-97.77609695
0100082301,30.24956743,-97.77738691
0100082401,30.24992176,-97.77731337
