parcel_id_10,ears_account_number,source
0100060804,100509,LUI_property_id
0100060805,100510,LUI_property_id
0100060806,100511,LUI_property_id
0100060807,100512,LUI_property_id
0100060808,100513,LUI_property_id
0100060809,100514,LUI_property_id
0100060810,100515,LUI_property_id
0100060811,100516,LUI_property_id
0100060812,100517,LUI_property_id
0100060813,100518,LUI_property_id
0100060814,100519,LUI_property_id
0100060815,100520,LUI_property_id
0100060816,100521,LUI_property_id
0100060817,100522,LUI_property_id
0100060818,100523,LUI_property_id
0100060819,100524,LUI_property_id
0100060820,100525,LUI_property_id
0100060821,100526,LUI_property_id
0100060822,100527,LUI_property_id
0100060823,100528,LUI_property_id
0100060825,100530,LUI_property_id
0100060826,100531,LUI_property_id
0100060827,100532,LUI_property_id
0100060828,100533,LUI_property_id
0100060901,100534,LUI_property_id
0100060903,100535,LUI_property_id
0100060904,100536,LUI_property_id
0100060905,100537,LUI_property_id
0100060906,100538,LUI_property_id
0100060907,100539,LUI_property_id
0100060908,100540,LUI_property_id
0100060909,100541,LUI_property_id
0100060910,100542,LUI_property_id
0100060911,100543,LUI_property_id
0100060913,100545,LUI_property_id
0100060914,100546,LUI_property_id
0100060915,100547,LUI_property_id
0100060916,100548,LUI_property_id
0100060917,100549,LUI_property_id
0100060918,100550,LUI_property_id
0100060919,100551,LUI_property_id
0100060920,100552,LUI_property_id
0100060921,100553,LUI_property_id
0100060922,100554,LUI_property_id
0100060923,100555,LUI_property_id
0100060924,100556,LUI_property_id
0100060925,100557,LUI_property_id
0100060926,100558,LUI_property_id
0100060927,100559,LUI_property_id
0100060928,100560,LUI_property_id
0100060929,100561,LUI_property_id
0100060930,765944,LUI_property_id
0100060931,765945,LUI_property_id
0100061001,100562,LUI_property_id
0100061002,100563,LUI_property_id
0100061003,100564,LUI_property_id
0100061005,100565,LUI_property_id
0100061007,100567,LUI_property_id
0100061008,100568,LUI_property_id
0100061009,100569,LUI_property_id
0100061010,100570,LUI_property_id
0100061012,100572,LUI_property_id
0100061013,100573,LUI_property_id
0100061014,100574,LUI_property_id
0100061016,100576,LUI_property_id
0100061017,100577,LUI_property_id
0100061024,100578,LUI_property_id
0100061030,100579,LUI_property_id
0100061047,882820,LUI_property_id
0100061048,882821,LUI_property_id
0100061101,100586,LUI_property_id
0100061102,100587,LUI_property_id
0100061103,100588,LUI_property_id
0100061104,100589,LUI_property_id
0100061105,100590,LUI_property_id
0100061106,100591,LUI_property_id
0100061107,100592,LUI_property_id
0100061108,100593,LUI_property_id
0100061109,100594,LUI_property_id
0100061110,100595,LUI_property_id
0100061111,100596,LUI_property_id
0100061112,100597,LUI_property_id
0100061201,100598,LUI_property_id
0100061202,100599,LUI_property_id
0100061203,100600,LUI_property_id
0100061205,100602,LUI_property_id
0100061208,100603,LUI_property_id
0100061210,100605,LUI_property_id
0100061301,100606,LUI_property_id
0100061302,100607,LUI_property_id
0100061303,100608,LUI_property_id
0100061304,100609,LUI_property_id
0100061305,100610,LUI_property_id
0100061308,100613,LUI_property_id
0100061310,100615,LUI_property_id
0100061311,100616,LUI_property_id
0100061312,100617,LUI_property_id
0100061313,100618,LUI_property_id
0100061314,100619,LUI_property_id
0100061315,100620,LUI_property_id
0100061402,100622,LUI_property_id
0100061403,100623,LUI_property_id
0100061404,100624,LUI_property_id
0100061405,100625,LUI_property_id
0100061406,100626,LUI_property_id
0100061407,100627,LUI_property_id
0100061408,100628,LUI_property_id
0100061409,100629,LUI_property_id
0100061410,100630,LUI_property_id
0100061411,100631,LUI_property_id
0100061412,100632,LUI_property_id
0100061414,894317,LUI_property_id
0100080101,100634,LUI_property_id
0100080102,100635,LUI_property_id
0100080103,100636,LUI_property_id
0100080301,100637,LUI_property_id
0100080302,100638,LUI_property_id
0100080303,100639,LUI_property_id
0100080304,100640,LUI_property_id
0100080305,100641,LUI_property_id
0100080306,100642,LUI_property_id
0100080307,100643,LUI_property_id
0100080308,100644,LUI_property_id
0100080401,100645,LUI_property_id
0100080402,100646,LUI_property_id
0100080403,100647,LUI_property_id
0100080404,100649,LUI_property_id
0100080405,100651,LUI_property_id
0100080406,100652,LUI_property_id
0100080407,100653,LUI_property_id
0100080408,100654,LUI_property_id
0100080505,100655,LUI_property_id
0100080506,100656,LUI_property_id
0100080507,100657,LUI_property_id
0100080508,100658,LUI_property_id
0100080509,100659,LUI_property_id
0100080510,100660,LUI_property_id
0100080516,100661,LUI_property_id
0100080517,100662,LUI_property_id
0100080518,100663,LUI_property_id
0100080519,100664,LUI_property_id
0100080520,100665,LUI_property_id
0100080521,100666,LUI_property_id
0100080524,100667,LUI_property_id
0100080525,100668,LUI_property_id
0100080526,100669,LUI_property_id
0100080527,100670,LUI_property_id
0100080528,100671,LUI_property_id
0100080529,100672,LUI_property_id
0100080530,100673,LUI_property_id
0100080531,100674,LUI_property_id
0100080532,100675,LUI_property_id
0100080533,100676,LUI_property_id
0100080534,100677,LUI_property_id
0100080535,100678,LUI_property_id
0100080536,100679,LUI_property_id
0100080537,100680,LUI_property_id
0100080538,100681,LUI_property_id
0100080539,100682,LUI_property_id
0100080540,100683,LUI_property_id
0100080541,100684,LUI_property_id
0100080542,100686,LUI_property_id
0100080543,100688,LUI_property_id
0100080601,100689,LUI_property_id
0100080602,100690,LUI_property_id
0100080603,100691,LUI_property_id
0100080604,100692,LUI_property_id
0100080605,100693,LUI_property_id
0100080606,100694,LUI_property_id
0100080607,100695,LUI_property_id
0100080608,100696,LUI_property_id
0100080609,100697,LUI_property_id
0100080610,100698,LUI_property_id
0100080611,100699,LUI_property_id
0100080612,100700,LUI_property_id
0100080701,100701,LUI_property_id
0100080702,100702,LUI_property_id
0100080703,100703,LUI_property_id
0100080704,100704,LUI_property_id
0100080705,100705,LUI_property_id
0100080707,100707,LUI_property_id
0100080708,100708,LUI_property_id
0100080709,100709,LUI_property_id
0100080710,100710,LUI_property_id
0100080711,100711,LUI_property_id
0100080712,100712,LUI_property_id
0100080801,100713,LUI_property_id
0100080802,100714,LUI_property_id
0100080803,100715,LUI_property_id
0100080804,100716,LUI_property_id
0100080805,100717,LUI_property_id
0100080806,100718,LUI_property_id
0100080807,100719,LUI_property_id
0100080808,100720,LUI_property_id
0100080809,100721,LUI_property_id
0100080810,100722,LUI_property_id
0100080811,100723,LUI_property_id
0100080812,100724,LUI_property_id
0100080813,100725,LUI_property_id
0100080814,100726,LUI_property_id
0100080815,100727,LUI_property_id
0100080902,100730,LUI_property_id
0100080903,100731,LUI_property_id
0100080904,100732,LUI_property_id
0100080905,100733,LUI_property_id
0100080906,100734,LUI_property_id
0100080908,100736,LUI_property_id
0100080909,100737,LUI_property_id
0100080910,100738,LUI_property_id
0100080911,100739,LUI_property_id
0100080912,100740,LUI_property_id
0100080913,100741,LUI_property_id
0100080914,100742,LUI_property_id
0100080915,100743,LUI_property_id
0100080916,100744,LUI_property_id
0100081204,100745,LUI_property_id
0100081205,100746,LUI_property_id
0100081206,100747,LUI_property_id
0100081207,100748,LUI_property_id
0100081208,100749,LUI_property_id
0100081209,100750,LUI_property_id
0100081210,100751,LUI_property_id
0100081211,100752,LUI_property_id
0100081212,100753,LUI_property_id
0100081213,100754,LUI_property_id
0100081214,100756,LUI_property_id
0100081215,100758,LUI_property_id
0100081216,100759,LUI_property_id
0100081217,100761,LUI_property_id
0100081218,100762,LUI_property_id
0100081219,100764,LUI_property_id
0100081220,100766,LUI_property_id
0100081221,100767,LUI_property_id
0100081223,100769,LUI_property_id
0100081225,100771,LUI_property_id
0100081227,100772,LUI_property_id
0100081229,100774,LUI_property_id
0100081230,100775,LUI_property_id
0100081233,100777,LUI_property_id
0100081234,100778,LUI_property_id
0100081235,100779,LUI_property_id
0100081238,877867,LUI_property_id
0100081305,100784,LUI_property_id
0100081311,100785,LUI_property_id
0100081312,100786,LUI_property_id
0100081313,100787,LUI_property_id
0100081314,100788,LUI_property_id
0100081315,100790,LUI_property_id
0100081317,100793,LUI_property_id
0100081319,100795,LUI_property_id
0100081401,100797,LUI_property_id
0100081402,100798,LUI_property_id
0100081403,100799,LUI_property_id
0100081404,100800,LUI_property_id
0100081405,100801,LUI_property_id
0100081406,100802,LUI_property_id
0100081407,100803,LUI_property_id
0100081408,100804,LUI_property_id
0100081409,100805,LUI_property_id
0100081410,100806,LUI_property_id
0100081411,100807,LUI_property_id
0100081412,100808,LUI_property_id
