Test_Year,Target,Threshold,N_Train,N_Train_Treated,N_Test,N_Test_Treated,OOT_Mean_CATE,OOT_R_Scorer
2019,Continuous_Attrition,0.15000000000000002,2534,21.0,131,2.0,-2.48766209400283,189.04833142784165
2019,Continuous_Time_Delay,0.15000000000000002,2534,21.0,131,2.0,5.5209281290756955,168800.4166726123
2019,Binary_Withdrawal,0.15000000000000002,2534,21.0,131,2.0,0.12251771912716185,0.0419770372892605
2019,Binary_Denial,0.15000000000000002,2534,21.0,131,2.0,0.1697113253282821,0.026007669160872486
2019,Binary_Upzone,0.2,2534,14.0,131,1.0,0.023740739323794963,0.039848949021233114
2019,Continuous_Attrition,0.2,2534,14.0,131,1.0,-0.12595550149486873,241.3874303059707
2019,Continuous_Time_Delay,0.2,2534,14.0,131,1.0,238.0242638200742,164985.4030796643
2019,Binary_Withdrawal,0.2,2534,14.0,131,1.0,0.1387102888003505,0.040753047147393966
2019,Binary_Denial,0.2,2534,14.0,131,1.0,0.13277988161243792,0.02123602721167881
2019,Binary_Upzone,0.25,2534,10.0,131,1.0,-0.04825520986177009,0.04384671706919841
2019,Continuous_Attrition,0.25,2534,10.0,131,1.0,-3.235759845068438,216.0889866077295
2019,Continuous_Time_Delay,0.25,2534,10.0,131,1.0,192.06738861430793,182188.28037953787
2019,Binary_Withdrawal,0.25,2534,10.0,131,1.0,0.14712880533639083,0.04110205934119348
2019,Binary_Denial,0.25,2534,10.0,131,1.0,-0.01193500252381686,0.02708282082413892
2019,Binary_Upzone,0.3,2534,9.0,131,1.0,-0.05900655082074446,0.038597202419190096
2019,Continuous_Attrition,0.3,2534,9.0,131,1.0,-2.6065178167517065,255.02273554501292
2019,Continuous_Time_Delay,0.3,2534,9.0,131,1.0,156.00596948929018,172509.1393253978
2019,Binary_Withdrawal,0.3,2534,9.0,131,1.0,0.10545585350479146,0.041701148242688335
2019,Binary_Denial,0.3,2534,9.0,131,1.0,-0.13000374516158728,0.025766113789149527
2019,Binary_Upzone,0.35000000000000003,2534,6.0,131,1.0,0.04562189450831539,0.043144439397245736
2019,Continuous_Attrition,0.35000000000000003,2534,6.0,131,1.0,-2.1972118566152803,322.4038756347874
2019,Continuous_Time_Delay,0.35000000000000003,2534,6.0,131,1.0,299.6813948052772,175050.09044730093
