Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2019,6_Months,LogisticL2,Linear,0.8807688725725822,0.18635964190789955,0.0072178517860969115,163345,5329
2019,6_Months,LogisticL1,Linear,0.8802085836858297,0.18732696493484058,0.0072178517860969115,163345,5329
2019,6_Months,MLP,Deep,0.9103838204191501,0.23686724218011834,0.0072178517860969115,163345,5329
2019,1_Year,CatBoost,Tree,0.8927992399248088,0.2772545555131947,0.008595304417031437,163345,5329
2019,1_Year,RandomForest,Tree,0.8638315771333465,0.237100730640331,0.008595304417031437,163345,5329
2019,1_Year,LogisticL2,Linear,0.882057962535912,0.24073596529633373,0.008595304417031437,163345,5329
2019,1_Year,LogisticL1,Linear,0.881578380486566,0.24245538952094567,0.008595304417031437,163345,5329
2019,1_Year,MLP,Deep,0.8869750957463453,0.39225293369456204,0.008595304417031437,163345,5329
2019,2_Years,CatBoost,Tree,0.9013970271136416,0.34349912382767905,0.00957482628791821,163345,5329
2019,2_Years,RandomForest,Tree,0.8808797986951585,0.3088215969228145,0.00957482628791821,163345,5329
2019,2_Years,LogisticL2,Linear,0.8815692123868946,0.2609376053216472,0.00957482628791821,163345,5329
2019,2_Years,LogisticL1,Linear,0.8810756436176316,0.2645763041025804,0.00957482628791821,163345,5329
2019,2_Years,MLP,Deep,0.888255140434657,0.4175646362612696,0.00957482628791821,163345,5329
2020,14_Days,CatBoost,Tree,0.9934491837809373,0.1715314887322101,0.0009900755303129112,168674,5284
2020,14_Days,RandomForest,Tree,0.9797156398104265,0.04643637201120929,0.0009900755303129112,168674,5284
2020,14_Days,LogisticL2,Linear,0.9801579778830963,0.06328262452150085,0.0009900755303129112,168674,5284
2020,14_Days,LogisticL1,Linear,0.9796945760926803,0.06270836610718453,0.0009900755303129112,168674,5284
2020,14_Days,MLP,Deep,0.9931332280147447,0.13101164974995502,0.0009900755303129112,168674,5284
2020,3_Months,CatBoost,Tree,0.9630313461638763,0.1725829033413219,0.004920734671615068,168674,5284
2020,3_Months,RandomForest,Tree,0.8714372642083485,0.07630967664792655,0.004920734671615068,168674,5284
2020,3_Months,LogisticL2,Linear,0.9542029590222361,0.15554616328666734,0.004920734671615068,168674,5284
2020,3_Months,LogisticL1,Linear,0.9543559519463134,0.157098922129041,0.004920734671615068,168674,5284
2020,3_Months,MLP,Deep,0.9678923486152402,0.30061068661939455,0.004920734671615068,168674,5284
2020,6_Months,CatBoost,Tree,0.9413329804679562,0.3578484655155396,0.007748674958796258,168674,5284
2020,6_Months,RandomForest,Tree,0.9000548201568046,0.1804434852690405,0.007748674958796258,168674,5284
2020,6_Months,LogisticL2,Linear,0.9442961044607541,0.3587839604678295,0.007748674958796258,168674,5284
2020,6_Months,LogisticL1,Linear,0.9452381289943494,0.3611908278911963,0.007748674958796258,168674,5284
2020,6_Months,MLP,Deep,0.875251062140538,0.3650974017132624,0.007748674958796258,168674,5284
2020,1_Year,CatBoost,Tree,0.947865515771526,0.5711500571010666,0.009337538684088834,168674,5284
