Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2018,TabNetVREx,ExtShallow,2023,0.5588873699400014
Pre-2018,CatBoost,ExtDeep,2023,0.8180298786181138
Pre-2018,XGBoost,ExtDeep,2023,0.8377777777777777
Pre-2018,RandomForest,ExtDeep,2023,0.8427228327228327
Pre-2018,LightGBM,ExtDeep,2023,0.7602669552669552
Pre-2018,Logistic,ExtDeep,2023,0.8645959595959595
Pre-2018,TabNet,ExtDeep,2023,0.2040533086792321
Pre-2018,TabNetVREx,ExtDeep,2023,0.2986669948917534
Pre-2018,CatBoost,Default,2024,0.8253968253968254
Pre-2018,XGBoost,Default,2024,0.5453968253968254
Pre-2018,RandomForest,Default,2024,0.6644444444444444
Pre-2018,LightGBM,Default,2024,0.6644444444444444
Pre-2018,Logistic,Default,2024,0.38055555555555554
Pre-2018,TabNet,Default,2024,0.5192857142857144
Pre-2018,TabNetVREx,Default,2024,0.06322293282907715
Pre-2018,CatBoost,HighCap,2024,0.7892857142857141
Pre-2018,XGBoost,HighCap,2024,0.5783333333333333
Pre-2018,RandomForest,HighCap,2024,0.6977777777777778
Pre-2018,LightGBM,HighCap,2024,0.7644444444444445
Pre-2018,Logistic,HighCap,2024,0.3912698412698412
Pre-2018,TabNet,HighCap,2024,0.09366433897502663
Pre-2018,TabNetVREx,HighCap,2024,0.04549209624187201
Pre-2018,CatBoost,Regularized,2024,0.7611111111111111
Pre-2018,XGBoost,Regularized,2024,0.5944444444444444
Pre-2018,RandomForest,Regularized,2024,1.0
Pre-2018,LightGBM,Regularized,2024,0.7295238095238095
Pre-2018,Logistic,Regularized,2024,0.5392857142857143
Pre-2018,TabNet,Regularized,2024,0.15394383394383396
Pre-2018,TabNetVREx,Regularized,2024,0.2210857316887468
Pre-2018,CatBoost,ExtShallow,2024,0.49111111111111116
Pre-2018,XGBoost,ExtShallow,2024,0.6544444444444445
Pre-2018,RandomForest,ExtShallow,2024,0.525952380952381
Pre-2018,LightGBM,ExtShallow,2024,0.6726190476190477
Pre-2018,Logistic,ExtShallow,2024,0.6511111111111112
Pre-2018,TabNet,ExtShallow,2024,0.2879166666666667
Pre-2018,TabNetVREx,ExtShallow,2024,0.2891666666666667
Pre-2018,CatBoost,ExtDeep,2024,0.8711111111111112
Pre-2018,XGBoost,ExtDeep,2024,0.885
Pre-2018,RandomForest,ExtDeep,2024,0.6644444444444444
Pre-2018,LightGBM,ExtDeep,2024,0.6787301587301587
Pre-2018,Logistic,ExtDeep,2024,0.3912698412698412
Pre-2018,TabNet,ExtDeep,2024,0.049501241254795755
Pre-2018,TabNetVREx,ExtDeep,2024,0.026800739400142347
Pre-2019,CatBoost,Default,2020,0.6589434816988998
Pre-2019,XGBoost,Default,2020,0.5909354976194869
Pre-2019,RandomForest,Default,2020,0.6480216654199403
Pre-2019,LightGBM,Default,2020,0.5717324784164678
Pre-2019,Logistic,Default,2020,0.6962219536937583
Pre-2019,TabNet,Default,2020,0.7112358696392309
Pre-2019,TabNetVREx,Default,2020,0.43112188048213196
Pre-2019,CatBoost,HighCap,2020,0.6884128218825255
Pre-2019,XGBoost,HighCap,2020,0.5810715520412557
Pre-2019,RandomForest,HighCap,2020,0.6815702596828206
Pre-2019,LightGBM,HighCap,2020,0.6509841790967399
Pre-2019,Logistic,HighCap,2020,0.6688932308293211
Pre-2019,TabNet,HighCap,2020,0.07733369550166802
Pre-2019,TabNetVREx,HighCap,2020,0.16365623565754836
Pre-2019,CatBoost,Regularized,2020,0.6993044862405764
Pre-2019,XGBoost,Regularized,2020,0.5616245308085202
