,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive,Mathematical_Cluster,Average_Attribution_Magnitude
district_longitude_lag_3yr,0.108232543454724,0.5148660833311092,0.3786747960212227,0.7709381682690344,0.3636782686889631,0.443505011807797,0.361907568425886,0.7296798524565735,0.4866088909659397,0.5766829073849463,0.5631470241756396,0.8387125121620409,0.3930465667830699,0.5364214470404152,0.6770305842866736,0.7184261869318882,0.127550874762324,0.9339133561897064,0.3827076918941012,0.6577753644185956,0.501460078995802,0.2706521090197799,0.363450885230534,0.3581665188006666,1,0.5023848038123931
district_delta_max_height_ft_lag_1yr,1.7399040297219492,0.9292438170402988,0.9241962439545996,0.4585206417756509,0.1931130232403362,0.4570442625913236,0.6739920717177442,0.6162555687432789,0.1795091179780985,0.3363198453858654,0.3026540386133199,0.2286550778683101,0.4336556577800222,0.3518007372531453,0.1650433082429399,0.3365259324088936,0.4926691528434742,0.8243871998790848,0.4004580574677014,0.211728449842409,0.1308803540779359,0.4483214550877236,0.504483623451129,0.4049709747697921,1,0.4893471934056262
district_longitude_lag_1yr,0.0,0.3421724543394519,0.1372246801442325,0.4614690532449305,0.1365258274144964,0.8301945164136147,0.3840738943769853,0.6403948275944863,0.2542477473273396,0.4673049693805998,0.3911857622211269,0.8821719585986343,0.0,1.7303143852517058,0.2984877109774208,0.72604446510332,0.0922956738728655,0.5468608029455133,0.4797734997480481,0.4900875034909505,0.0,1.0986651182038925,0.1760074484545014,0.8939061990873644,1,0.47747535409131175
district_gross_site_area_acres_lag_3yr,0.1173398996997419,0.7581314058189252,0.2043211231282382,0.3286670416225729,0.0561264405879429,0.8768543297240784,0.3407671305682382,0.4075449696586081,0.1319143101784432,0.3499615692201083,0.0428432935471182,0.8072878057114822,0.2026595507253452,1.580045614337562,0.1766292643715104,0.4868276306902654,0.0,0.5843955722721751,0.1656989143840911,0.9650933749533084,0.0,1.2728989351962166,0.2970612178021292,1.0392943240606762,1,0.46634848826078246
district_delta_max_far_lag_2yr,0.1972155913694892,0.3788687794270431,0.0,0.075198748071901,0.0180969607141402,0.4454971177804256,0.7591991746454453,0.3560723144068693,0.0,0.530031397046585,0.7399829396608297,0.8999926484851727,0.095027598800769,0.2087351171706404,0.1624140782520039,0.8203846732561488,0.1003291541514316,1.5615229824946306,0.1581467019015526,1.293462790924922,0.0,0.5581537544070975,0.2795646377759518,0.6421009151501527,1,0.42833325316221665
district_gross_site_area_acres_lag_1yr,0.2859502905454664,0.4678299592778677,0.4023687308841683,0.5814924846064989,0.5762301761124414,0.799429903063288,0.1327106802773253,0.5574127057837821,0.3124334977777959,1.153259887182997,0.1366229444730969,0.8095348872806394,0.1827606356484057,0.6924093265406108,0.1413422673804495,0.6207647680760764,0.1673927355528205,0.3905181440145278,0.038497210110372,0.4952004643928542,0.0,0.506169451765819,0.2422037302223992,0.4351171043913703,1,0.4219854993900447
district_latitude_lag_2yr,0.1015929727123421,0.6210380729786724,0.0393529441445215,0.6880308940668265,0.0819615784750022,0.8627705491536196,0.1423627868911031,0.7195806997971235,0.0347307694692449,0.9895004327062245,0.2645506459185598,0.618357498788947,0.0,0.9582163234114291,0.3070354208660952,0.6546622678151991,0.0,0.5758706014172608,0.1151725832131045,0.4567400272108846,0.0,0.7252029071245382,0.1129362308109993,1.0343299793401537,1,0.42099984109632715
district_delta_max_bldg_cov_pct_lag_1yr,0.1999168698839216,0.3755889647223126,0.0891749079604027,0.6476371692527834,0.4822747368495466,0.2273147084221545,0.2310344140916943,0.245642116699342,0.0509431950781438,1.1072059951735669,0.3464696251331188,0.7382808537803643,0.064046305126873,0.4195913104052768,0.4392291439582395,0.3365849810806177,0.1257903464624057,0.79511798635854,0.2281480619497355,0.2854338270956408,0.0630944472130974,0.7130953880399756,0.916305986616164,0.6764661821149097,1,0.40851614681120113
median_neighbor_acreage,0.0,0.0040097633803073,0.0,0.0035731111724772,0.0,0.0,0.0,0.0,0.2116988580032517,0.0025777053629582,0.0,0.0024124300944882,2.113049140616256,1.2347485655123265,1.0867439912248948,0.3310879703075148,0.7160006297020014,0.3339299636200432,0.2375223042999746,0.360316916304503,0.8315064451580492,0.8992757032871825,0.5965661974917948,0.3551884174994499,1,0.3883420047098947
ldb_imprv_sqft,0.5483584165719136,0.1957544427054122,0.2855073004674903,0.2343236653349142,0.224800911675277,0.4586595952964328,0.3071634248315071,0.2900809532585177,0.1152225697084681,0.3512532140826309,0.0608869756598871,0.2609703514941235,0.3688859032450089,0.3425222684964591,0.0111826150730035,0.2543557108892907,1.7381199652608852,0.5475181659447812,0.1928402563340368,0.2854176814820025,0.6445274491439008,0.5727341487054878,0.1021690227378531,0.3584075974926466,1,0.3646526085788305
district_delta_max_far_lag_1yr,0.3130995859800959,0.3796123865798054,0.2883795861971963,1.5521052418124976,0.3749193423555536,0.5087597616641039,0.4540547954772566,0.4251280846117964,0.3390565293382496,0.800174155090914,0.1808463118458293,0.3365763540961712,0.011786276145946,0.1897541895998642,0.153333709044123,0.3442804422570893,0.2206286415535749,0.0671656771235602,0.0,0.2238089944527816,0.0,0.4516013198050338,0.4916244210691273,0.5344571874713612,1,0.3600480413988305
district_protest_rate_lag_1yr,0.0,0.989193392892196,0.1073119447345423,0.7555729904809675,0.0,0.6820981073750065,0.0819553634334885,0.5083097917660315,0.0394650311049524,0.3931490979066163,0.2490238961528213,0.735704833780742,0.2274929283412358,0.4403335661478461,0.3430597711088885,0.3868205223928163,0.0,0.4264962478164975,0.117962757150792,0.8005673722642563,0.1295315752060629,0.2913097029713583,0.3698440532941642,0.5103544161789088,1,0.3577315567708413
district_delta_min_lot_sqft_lag_1yr,0.0692523914584029,0.5056056444162176,0.3496782501673251,0.583786367064104,0.0,1.092980413974638,0.0134322472039461,0.7064914268943026,0.3423747140648561,0.5129634934571865,0.2242776435229654,0.5433468998169791,0.1287859139029566,0.5651250247448122,0.0566242928447473,0.5332452467622782,0.0,0.3059123010606884,0.0,0.2549910445049577,0.0,0.8262476342379076,0.0,0.5993719347131377,1,0.3422705368671837
