CASE_NUMBER,has_transcribed_opposition,prob_frame_traffic,prob_frame_infrastructure,prob_frame_displacement,prob_frame_neighborhood,prob_frame_procedural
C14-2018-0106,0,0.5038370389371266,0.4161793746956321,0.3923395447440433,0.4311192511044661,0.40501133558451585
C14-2017-0027,0,0.6159125797676986,0.5615132757529515,0.664106251998067,0.6306575674301622,0.6766466408316162
C14-2019-0109,0,0.47331658197510157,0.46232665815354,0.5096035183315507,0.4847602086356669,0.3725145966048959
C14-2014-0117,0,0.5639758347785135,0.6390972289587005,0.4691825571784989,0.5286964065657889,0.5163293261752657
C14-2010-0105,0,0.43905708656131437,0.5122974519515059,0.3630216665538557,0.3399294332427711,0.46460146103684963
C14-2010-0026,0,0.4101183049124982,0.4874164607954607,0.4787091970662412,0.5244084143950023,0.39827863723498386
C14-2010-0057,0,0.5593264420716302,0.5301084800925447,0.4509719025597706,0.41039201798860503,0.5037589247283614
NPA-2016-0005.04,0,0.6157847161369161,0.5627378649157614,0.6646232563880903,0.6310201017613308,0.6775618148449618
C14-2015-0043,0,0.42705141561057813,0.38192225795734075,0.42354883659219933,0.37588938735283894,0.31989429753120796
C14-2009-0078,0,0.4598018906167603,0.416806860389873,0.4309646939221408,0.408603889545192,0.33397444482007127
C14-2018-0061,0,0.46130239116447963,0.44034690355130207,0.4347936035977723,0.4774804677640941,0.43117502461423124
C14H-2014-0007,0,0.349510029613541,0.3367184664626292,0.43826563694369236,0.49808185793501875,0.3958728672467646
C14-2016-0018,0,0.4891542176139489,0.525112227143209,0.43783970042231685,0.49052462932583896,0.47391316801658834
C14-2015-0107,0,0.461202474906887,0.6093360515364682,0.4825608212635372,0.5917322708511229,0.45627229807817093
C14-2012-0059,0,0.49751344299904443,0.5043899517614668,0.40531702533165154,0.39066160324122684,0.6269642507328437
C14-2016-0049,0,0.43973972568801,0.434084517602687,0.38160028592227657,0.4516471202244734,0.45378702390539594
NPA-2012-0021.02,0,0.4308641051530073,0.46723179875576154,0.373090860097316,0.3707529609730646,0.4632407893023754
C14-2011-0049,0,0.4439888523188807,0.551609171715572,0.41405986895055935,0.3899669237196639,0.4826203740095258
C14-2012-0100,0,0.49347141102784703,0.42357884234744225,0.362390245257634,0.374911352669089,0.39887736721112543
C14-2015-0003,0,0.5140122489120037,0.5313197537365889,0.5122831667389797,0.4831184363391236,0.4628081492717105
C14-2012-0002,0,0.4108562167029396,0.545477720504114,0.4562317895089268,0.5739728285123976,0.4108341871601996
NPA-2012-0005.04,0,0.43092446782485266,0.4673078404371607,0.3733228340705749,0.37097247825108914,0.4628971403239762
C14-2016-0085,0,0.33346916402904164,0.3588848166193671,0.6514502720093706,0.6133668900781772,0.3100931721169562
C14-2015-0121,0,0.5803343704094028,0.5921033944233353,0.5689741883537117,0.5482401888185461,0.4324742530756057
NPA-2014-0025.02,0,0.44485226287565804,0.4782783241228347,0.5190250979259922,0.30453820939283616,0.2385119588198909
C14-2010-0077,0,0.43503691272297124,0.4517267028201311,0.522215517803357,0.2934846307761897,0.22109173451332856
C14-2019-0014,0,0.42559850294385193,0.5049746085650185,0.4670078377533862,0.5464586702484955,0.3829528127098057
NPA-2015-0027.01,0,0.4656037322052347,0.47704044764989556,0.5241218833689889,0.285529417705003,0.24039487706476267
C14-2014-0052,0,0.5678180538214118,0.6362335094444511,0.5472571203186857,0.58912420334423,0.5699658010138283
C14-2010-0129,0,0.522757462012325,0.51505794554527,0.5242196250955051,0.27034345350065814,0.27387853183053673
C14-2013-0064,0,0.5314746759518919,0.5244291417707044,0.4715012108992373,0.46079073978798185,0.5174267744537255
C14-2010-0132,0,0.4850236593398603,0.5754482251743873,0.47180797277367015,0.5253992424883616,0.46803787802506225
NPA-2012-0023.01,0,0.43094372720122015,0.46755426216202134,0.37345127307631015,0.3709149048755236,0.46302806941832825
C14-2019-0087,0,0.35284062916701053,0.4788902778590524,0.5125783646986414,0.6314952155509063,0.34901171375340323
C14H-2016-0073,0,0.49558336983039486,0.5961056337426583,0.4029000420482011,0.432996111465393,0.4748633891395217
C14-2013-0098,1,0.563580006101766,0.5632221531350922,0.507196650523632,0.4759557812372476,0.6058928273991113
C14-2017-0141,0,0.4910671949573292,0.379380784471636,0.3848361231142756,0.4191565480431117,0.37769964819040797
C14-2017-0109,0,0.39511891459056087,0.3956000157661177,0.4100020433861227,0.4494297089529774,0.4505388780463777
C14H-2015-0164,0,0.5071159961799747,0.5107327161945702,0.524271396508856,0.3016519989302774,0.2790695790002899
C14H-2010-0027,0,0.33717442714558776,0.36618698880513223,0.45970026803499114,0.5090862288387139,0.3820810624542008
C14-2015-0007,0,0.5229177675173441,0.5898686085736868,0.4357425370908945,0.44874710741433893,0.5433257739681275
C14-2019-0151,0,0.49706516284482044,0.42732583534442,0.4228165916428915,0.4313613378045405,0.3508442848710164
C14-2013-0134,0,0.5667235449958771,0.582152253666512,0.4122245809424739,0.41197647327804654,0.4865763491325455
C14-2012-0021,0,0.4890975320602269,0.49797834431690113,0.5120847009877464,0.2814343968008987,0.2616831439583055
C14-2014-0018,0,0.5900206564342818,0.6138472548842357,0.4294790548601386,0.42486988587371305,0.4994596782292595
C14-2010-0193,0,0.4960421296491426,0.46795442913225,0.4319158977106308,0.4193182265151345,0.4780423615175267
C14-2010-0122,0,0.5865878480104756,0.4914432909140777,0.424428238939648,0.39444328959105324,0.5255480779913516
C14H-2018-0014,0,0.4576540186072828,0.4402242432183254,0.4903456122614798,0.47072657229060105,0.3898495691856066
C14H-2011-0001,0,0.4433237694257128,0.5513418113704222,0.4139960621669005,0.3898894500202862,0.4820924226922878
C14-2012-0097,0,0.3342932445029041,0.49596508102858805,0.4758354369528018,0.6428895675482679,0.37048345308134095
C14-2017-0118,0,0.46365267818873684,0.4537959622402689,0.5075028429745011,0.2871262751227401,0.22281756828097807
C14-2017-0004,0,0.4249672417300338,0.48048664862599955,0.5047318742303456,0.5761694749774606,0.37859513524380545
C14-2013-0086,1,0.5636030546803131,0.5631447752239974,0.507246569438908,0.4760219846847626,0.6060056002460396
C14H-2010-0010,0,0.521974239701388,0.5146118646822383,0.5237847901932098,0.27002896024225914,0.2736713683186072
