CASE_NUMBER,neighbor_tcad_id
C14H-2010-0019,0221050913
C14H-2010-0019,0221051506
C14H-2010-0019,0218060403
C14H-2010-0019,0220060207
C14H-2010-0019,0219050907
C14H-2010-0019,0218060305
C14H-2010-0019,0219060812
C14H-2010-0019,0219050510
C14H-2010-0019,0218060409
C14H-2010-0019,0220060901
C14H-2010-0019,0220060705
C14H-2010-0019,0220060407
C14H-2010-0019,0219050412
C14H-2010-0019,0220061002
C14H-2010-0019,0221051617
C14H-2010-0019,0220060903
C14H-2010-0019,0220061505
C14H-2010-0019,0219050801
C14H-2010-0019,0218060216
C14H-2010-0019,0220061106
C14H-2010-0019,0219060401
C14H-2010-0019,0219060307
C14H-2010-0019,0219060403
C14H-2010-0019,0218060402
C14H-2010-0019,0218060608
C14H-2010-0019,0219051002
C14H-2010-0019,0220060902
C14H-2010-0019,0218060205
C14H-2010-0019,0220060509
C14H-2010-0019,0219050916
C14H-2010-0019,0218060405
C14H-2010-0019,0220080304
C14H-2010-0019,0219060404
C14H-2010-0019,0221050504
C14H-2010-0019,0219060513
C14H-2010-0019,0220060501
C14H-2010-0019,0220060702
C14H-2010-0019,0220060216
C14H-2010-0019,0219050804
C14H-2010-0019,0218060108
C14H-2010-0019,0220060512
C14H-2010-0019,0220060615
C14H-2010-0019,0221050512
C14H-2010-0019,0218060111
C14H-2010-0019,0221051309
C14H-2010-0019,0219051106
C14H-2010-0019,0220061409
C14H-2010-0019,0219060907
C14H-2010-0019,0221050515
C14H-2010-0019,0220060905
C14H-2010-0019,0218060310
C14H-2010-0019,0221050209
C14H-2010-0019,0219051108
C14H-2010-0019,0218060602
C14H-2010-0019,0221050905
C14H-2010-0019,0220060609
C14H-2010-0019,0219050708
C14H-2010-0019,0220061107
C14H-2010-0019,0219051008
C14H-2010-0019,0221051606
C14H-2010-0019,0220080205
C14H-2010-0019,0220080204
C14H-2010-0019,0220080207
C14H-2010-0019,0220080206
C14H-2010-0019,0220060708
C14H-2010-0019,0218060306
C14H-2010-0019,0220060110
C14-2011-0054,0142270123
C14-2011-0054,0142270140
C14-2011-0054,0142271102
C14-2011-0054,0142271103
C14-2011-0054,0142271111
C14-2011-0054,0142271112
C14-2011-0054,0142271113
C14-2011-0054,0142271115
C14-2011-0054,0142271128
C14-2011-0058,0107000302
C14-2011-0058,0107000303
C14-2011-0058,0107000325
C14-2011-0058,0107000401
C14-2011-0058,0107000403
C14-2011-0058,0107000404
C14-2011-0058,0107000405
C14-2011-0058,0107000406
C14-2011-0058,0107000407
C14-2011-0058,0107000409
C14-2011-0058,0107000410
C14-2011-0058,0107000601
C14-2011-0058,0107000610
C14-2011-0058,0208000512
C14-2011-0032,0404070155
C14-2011-0032,0404070120
C14-2011-0032,0404070118
C14-2011-0032,0404070819
C14-2011-0032,0404070156
C14-2011-0032,0404070129
C14-2011-0032,0404090141
C14-2011-0032,0404070803
C14-2011-0032,0404070817
C14-2011-0032,0404070122
C14-2011-0032,0404090117
C14-2011-0032,0404070157
C14-2011-0032,0404070839
C14-2011-0032,0404070119
C14-2011-0032,0404070838
C14-2011-0032,0404070121
C14-2012-0052,0228070418
C14-2012-0052,0226070112
C14-2012-0052,0228070417
C14-2012-0052,0226070107
C14-2012-0052,0228060401
C14-2012-0052,0226070302
C14-2012-0052,0226070528
C14-2012-0052,0226070301
C14-2012-0052,0226070524
C14-2012-0052,0226070525
C14-2012-0052,0226070533
C14-2012-0052,0228070419
C14-2012-0052,0226070523
C14-2012-0052,0226070120
C14-2012-0052,0226070117
C14-2012-0052,0226070104
C14-2012-0052,0226070402
C14-2012-0052,0226070431
C14-2012-0052,0226070901
C14-2012-0052,0226070430
C14-2012-0052,0226070403
C14-2012-0052,0226070433
