Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2024,6_Months,LogisticL1,Linear,0.5784475411233273,0.018712823324512712,0.00341132757088935,203733,7942
2024,6_Months,Linear,Linear,0.5113675104406376,0.0143662336983485,0.00341132757088935,203733,7942
2024,6_Months,MLP,Deep,0.5952915920906845,0.01839022475107662,0.00341132757088935,203733,7942
2024,6_Months,LSTM,Deep,0.5913065712094092,0.028480518592381765,0.00341132757088935,203733,7942
2024,1_Year,CatBoost,Tree,0.5632685961672368,0.06955114196114186,0.004235936249895697,203733,7942
2024,1_Year,RandomForest,Tree,0.5692209590990281,0.033560137706164575,0.004235936249895697,203733,7942
2024,1_Year,LogisticL2,Linear,0.6271404135509068,0.026696555960279773,0.004235936249895697,203733,7942
2024,1_Year,LogisticL1,Linear,0.5833955223880597,0.026947367079231566,0.004235936249895697,203733,7942
2024,1_Year,Linear,Linear,0.6279260391753201,0.02678739362294412,0.004235936249895697,203733,7942
2024,1_Year,MLP,Deep,0.6759135357694287,0.03464335512929568,0.004235936249895697,203733,7942
2024,1_Year,LSTM,Deep,0.5118736944082831,0.02133085310227726,0.004235936249895697,203733,7942
2024,2_Years,CatBoost,Tree,0.7707358239229815,0.08276116110274552,0.0047905837542273465,203733,7942
2024,2_Years,RandomForest,Tree,0.6614010323635372,0.03389745694651478,0.0047905837542273465,203733,7942
2024,2_Years,LogisticL2,Linear,0.673962338409373,0.03765987511564892,0.0047905837542273465,203733,7942
2024,2_Years,LogisticL1,Linear,0.5699619297024008,0.02522418670069865,0.0047905837542273465,203733,7942
2024,2_Years,Linear,Linear,0.6745307438466894,0.03797158305482816,0.0047905837542273465,203733,7942
2024,2_Years,MLP,Deep,0.6821807544427961,0.10679452650183423,0.0047905837542273465,203733,7942
2024,2_Years,LSTM,Deep,0.6343851230662105,0.0292632970684267,0.0047905837542273465,203733,7942
