Seed,Anchor,Offset,Architecture,Topology,Score
999,2019,3,CatBoost YetiRank Depth10,Base LTR,0.3056856808038407
999,2019,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.3054534802586394
999,2019,4,CatBoost YetiRank Depth10,Base LTR,0.552398323113564
999,2019,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.536946877497813
999,2019,5,CatBoost YetiRank Depth10,Base LTR,0.7973407535669685
999,2019,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8694509009854676
999,2019,6,CatBoost YetiRank Depth10,Base LTR,0.0
999,2019,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2020,1,CatBoost YetiRank Depth6,Base LTR,0.49846679561329005
999,2020,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5429818935709759
999,2020,2,CatBoost YetiRank Depth6,Base LTR,0.3079827140571022
999,2020,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.314993236893994
999,2020,3,CatBoost YetiRank Depth6,Base LTR,0.6276952050185699
999,2020,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.6276952050185699
999,2020,4,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
999,2020,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9667470468041046
999,2020,5,CatBoost YetiRank Depth6,Base LTR,0.0
999,2020,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2020,6,CatBoost YetiRank Depth6,Base LTR,0.0
999,2020,6,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2020,1,CatBoost YetiRank Depth10,Base LTR,0.4885577417343297
999,2020,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.4971482217460291
999,2020,2,CatBoost YetiRank Depth10,Base LTR,0.2728704394023322
999,2020,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.2732855157396727
999,2020,3,CatBoost YetiRank Depth10,Base LTR,0.5272465587946282
999,2020,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5354276434114342
999,2020,4,CatBoost YetiRank Depth10,Base LTR,0.8192757378404147
999,2020,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9953687156174393
999,2020,5,CatBoost YetiRank Depth10,Base LTR,0.0
