parcel_id,year,lr_score,diff_score,ensemble_score,lr_cal,diff_cal,ens_cal,actual,lat,lon
0305180411,2021,0.99634,0.99688,0.99661,0.956128,1.0,0.999992,1,30.238715,-97.692144
0402030101,2021,0.99976,0.99688,0.99832,0.989859,1.0,0.999998,1,30.243234,-97.763623
0402030105,2021,0.99901,0.19929,0.59915,0.978156,0.026264,0.69584,1,30.242834,-97.763649
0402030235,2021,0.99635,0.99672,0.99653,0.956191,1.0,0.999991,1,30.243598,-97.763241
0402030236,2021,0.99635,0.99685,0.9966,0.956191,1.0,0.999992,1,30.243662,-97.763519
0402040218,2021,0.99991,0.56789,0.7839,0.994061,0.67037,0.934202,1,30.243882,-97.763894
0402040406,2021,0.99991,0.60278,0.80134,0.994061,0.747149,0.946428,1,30.242872,-97.764575
0402040410,2021,0.99976,0.99688,0.99832,0.989859,1.0,0.999998,1,30.243375,-97.763867
0402040412,2021,0.9999,0.59517,0.79754,0.993709,0.731287,0.943899,1,30.242959,-97.764184
0402040413,2021,0.99991,0.58401,0.79196,0.994061,0.7071,0.940051,1,30.243167,-97.764062
0402040414,2021,0.99946,0.89726,0.94836,0.984252,0.996424,0.997509,1,30.242738,-97.764076
0402040707,2021,0.99634,0.99684,0.99659,0.956128,1.0,0.999992,1,30.243513,-97.765098
0402040708,2021,0.99633,0.99682,0.99658,0.956064,1.0,0.999992,1,30.243707,-97.765077
0402040709,2021,0.99634,0.89731,0.94683,0.956128,0.996429,0.997346,1,30.243822,-97.764981
0402040721,2021,0.99988,0.99672,0.9983,0.99305,1.0,0.999998,1,30.243869,-97.764561
0402040722,2021,0.99988,0.99692,0.9984,0.99305,1.0,0.999998,1,30.243609,-97.764747
0402040727,2021,0.99988,0.9968,0.99834,0.99305,1.0,0.999998,1,30.243386,-97.76487
0402040728,2021,0.99987,0.99676,0.99832,0.99274,1.0,0.999998,1,30.243219,-97.764889
0402040729,2021,0.99987,0.9968,0.99834,0.99274,1.0,0.999998,1,30.243041,-97.764965
0402550101,2021,0.0,0.79218,0.39609,0.000142,0.970004,0.295576,1,30.248363,-97.920987
0402550201,2021,0.0,0.79705,0.39852,0.000142,0.972179,0.299945,1,30.248372,-97.922049
0402550724,2021,0.0,0.79505,0.39752,0.000142,0.9713,0.298144,1,30.249152,-97.923817
0404040717,2021,0.99992,0.10662,0.55327,0.994431,0.00398,0.608355,1,30.241814,-97.763266
0404550107,2021,0.0,0.59908,0.29954,0.000142,0.739503,0.148161,1,30.245933,-97.922084
0404550108,2021,0.0,0.79751,0.39876,0.000142,0.972378,0.300378,1,30.245654,-97.92243
0404550113,2021,0.0,0.7972,0.3986,0.000142,0.972244,0.30009,1,30.246563,-97.921061
0404550123,2021,0.0,0.99613,0.49806,0.000142,0.999999,0.496006,1,30.247821,-97.919848
0404550125,2021,0.0,0.78981,0.39491,0.000142,0.968901,0.293465,1,30.245338,-97.923567
0404550130,2021,0.0,0.99594,0.49797,0.000142,0.999999,0.49582,1,30.246175,-97.92426
0404550131,2021,0.0,0.80013,0.40007,0.000142,0.973494,0.302746,1,30.247874,-97.922233
0404550132,2021,0.0,0.89673,0.44837,0.000142,0.996371,0.394904,1,30.247444,-97.922413
0404550134,2021,0.0,0.51691,0.25845,0.000142,0.543834,0.102452,1,30.247857,-97.921507
0404550301,2021,0.0,0.19426,0.09713,0.000142,0.02423,0.010045,1,30.247596,-97.92413
0419130501,2021,0.98661,0.83578,0.9112,0.913986,0.985616,0.99179,1,30.195516,-97.798485
0419130502,2021,0.98662,0.9954,0.99101,0.914019,0.999999,0.999938,1,30.194721,-97.798348
0419130507,2021,0.98664,0.99592,0.99128,0.914085,0.999999,0.999941,1,30.194838,-97.79917
0419130508,2021,0.98658,0.99612,0.99135,0.913888,0.999999,0.999942,1,30.195147,-97.798705
0419130509,2021,0.98665,0.99555,0.9911,0.914117,0.999999,0.999939,1,30.194718,-97.796658
0419130510,2021,0.9865,0.99621,0.99135,0.913627,0.999999,0.999942,1,30.194248,-97.796674
0419130511,2021,0.98654,0.99589,0.99121,0.913758,0.999999,0.99994,1,30.193919,-97.796666
0419130512,2021,0.98656,0.99633,0.99145,0.913823,1.0,0.999944,1,30.193594,-97.796635
0419130513,2021,0.98654,0.89357,0.94005,0.913758,0.99604,0.996555,1,30.194848,-97.797221
0419130514,2021,0.98654,0.79621,0.89137,0.913758,0.971813,0.987052,1,30.194702,-97.797202
0419130515,2021,0.98655,0.77367,0.88011,0.91379,0.960576,0.983771,1,30.194577,-97.797178
0419130516,2021,0.98656,0.89652,0.94154,0.913823,0.996349,0.996739,1,30.193884,-97.797081
0419130517,2021,0.96022,0.89411,0.92717,0.851944,0.996098,0.994718,1,30.193335,-97.797279
0419150606,2021,0.98654,0.99609,0.99131,0.913758,0.999999,0.999942,1,30.195224,-97.796548
0419150607,2021,0.98654,0.93843,0.96248,0.913758,0.999156,0.998747,1,30.195284,-97.796716
0419150608,2021,0.98654,0.9959,0.99122,0.913758,0.999999,0.999941,1,30.195401,-97.796882
