pid,year,lr,diff,diff_calibrated,ens_calibrated,actual
0427170506,2021,0.0,0.89588,0.408602,0.204301,1.0
0427170507,2021,0.0,0.89671,0.408602,0.204301,1.0
0427170508,2021,0.0,0.89716,0.435484,0.217742,1.0
0427170509,2021,0.0,0.79495,0.375,0.1875,1.0
0427170510,2021,0.0,0.89892,0.408602,0.204301,1.0
0427170511,2021,0.0,0.89657,0.408602,0.204301,1.0
0427170512,2021,0.0,0.89678,0.408602,0.204301,1.0
0427170513,2021,0.0,0.79612,0.393258,0.196629,1.0
0427170514,2021,0.0,0.69706,0.2,0.1,1.0
0427170515,2021,0.0,0.79705,0.435484,0.217742,1.0
0427170516,2021,0.0,0.81934,0.435484,0.217742,1.0
0427170517,2021,0.0,0.99626,0.563636,0.281818,1.0
0428110102,2021,0.0,0.79694,0.435484,0.217742,1.0
0428110103,2021,0.0,0.00094,0.000499,0.000249,1.0
0428110122,2021,0.0,0.00078,0.0,0.0,1.0
0430150210,2021,0.96175,0.89748,0.435484,0.698617,1.0
0430150211,2021,0.96831,0.85133,0.393258,0.680784,1.0
0430150212,2021,0.9999,0.17772,0.000499,0.500199,1.0
0430150301,2021,0.99802,0.99691,0.625,0.81151,1.0
0430150401,2021,0.98658,0.73613,0.222222,0.604401,1.0
0430150402,2021,0.9981,0.4871,0.001488,0.499794,1.0
0430150404,2021,0.98651,0.99623,0.576923,0.781717,1.0
0430150701,2021,0.99633,0.21997,0.000499,0.498414,1.0
0235180317,2021,0.01409,0.12329,0.000499,0.007294,0.0
0231110609,2021,0.01404,0.09726,0.000499,0.007269,0.0
0207160306,2021,0.01406,0.1026,0.000499,0.007279,0.0
0139060423,2021,0.01411,0.10316,0.000499,0.007304,0.0
0150550153,2021,0.01417,0.39812,0.001438,0.007804,0.0
0305031014,2021,0.01411,0.30044,0.000499,0.007304,0.0
0264080419,2021,0.29395,0.38803,0.001577,0.147764,0.0
0262100717,2021,0.014,0.10042,0.000499,0.007249,0.0
R412084,2021,0.03856,0.00079,0.000499,0.019529,0.0
0217061801,2021,0.04998,0.00114,0.000816,0.025398,0.0
0145550703,2021,0.01402,0.00093,0.000499,0.007259,0.0
0401070703,2021,0.38426,0.00088,0.000816,0.192538,0.0
0307150601,2021,0.01401,0.0008,0.000499,0.007254,0.0
0418401703,2021,0.01406,0.19851,0.000816,0.007438,0.0
0221290509,2021,0.01404,0.35667,0.001438,0.007739,0.0
0215240703,2021,0.01399,0.49846,0.001488,0.007739,0.0
0219361207,2021,0.01397,0.29975,0.000499,0.007234,0.0
0236091305,2021,0.01416,0.39233,0.001577,0.007869,0.0
0111380311,2021,0.01426,0.34193,0.001438,0.007849,0.0
R075323,2021,0.04998,0.10072,0.000816,0.025398,0.0
0274200105,2021,0.01402,0.10082,0.000499,0.007259,0.0
0436230803,2021,0.01396,0.10033,0.000816,0.007388,0.0
0406150604,2021,0.01404,0.19962,0.000816,0.007428,0.0
0330181037,2021,0.0041,0.20107,0.000499,0.002299,0.0
0215080214,2021,0.01409,0.19999,0.000816,0.007453,0.0
0428250307,2021,0.014,0.19874,0.000499,0.007249,0.0
0211220321,2021,0.01405,0.29757,0.000499,0.007274,0.0
0145070380,2021,0.01419,0.29944,0.000816,0.007503,0.0
0143061103,2021,0.01413,0.20001,0.000816,0.007473,0.0
0419111212,2021,0.01403,0.29568,0.000816,0.007423,0.0
0225021217,2021,0.01419,0.29971,0.000816,0.007503,0.0
0201060201,2021,0.01407,0.29937,0.000816,0.007443,0.0
0307020613,2021,0.01402,0.49657,0.011204,0.012612,0.0
0278200504,2021,0.014,0.00667,0.000816,0.007408,0.0
0428030422,2021,0.01397,0.10051,0.000816,0.007393,0.0
0412100113,2021,0.01404,0.29975,0.000816,0.007428,0.0
0164051012,2021,0.01402,0.19181,0.000499,0.007259,0.0
0258200306,2021,0.0,0.00912,0.000816,0.000408,0.0
0119110626,2021,0.01455,0.19894,0.000499,0.007524,0.0
0233010407,2021,0.01407,0.28706,0.000816,0.007443,0.0
0141050203,2021,0.0142,0.19954,0.000499,0.007349,0.0
0203550740,2021,0.01396,0.38804,0.001577,0.007769,0.0
0415210710,2021,0.01404,0.19842,0.000816,0.007428,0.0
0123480322,2021,0.0141,0.39479,0.001438,0.007769,0.0
0241221210,2021,0.01404,0.09248,0.000499,0.007269,0.0
0225091010,2021,0.01412,0.00176,0.000816,0.007468,0.0
0138070212,2021,0.0141,0.19984,0.000816,0.007458,0.0
0356310106,2021,0.47923,0.8953,0.408602,0.443916,0.0
0258040104,2021,0.014,0.10385,0.000816,0.007408,0.0
0259020725,2021,0.01404,0.09362,0.000816,0.007428,0.0
0249010717,2021,0.01406,0.19886,0.000499,0.007279,0.0
0417272412,2021,0.01399,0.66871,0.142857,0.078424,0.0
0326180226,2021,0.01395,0.29989,0.000499,0.007224,0.0
0211180956,2021,0.01397,0.29995,0.000816,0.007393,0.0
0205103901,2021,0.16882,0.1762,0.000499,0.084659,0.0
0258301026,2021,0.05204,0.20026,0.000499,0.026269,0.0
0419280220,2021,0.29353,0.69725,0.216931,0.255231,0.0
0164051336,2021,0.01403,0.39769,0.001438,0.007734,0.0
0334032117,2021,0.01397,0.28776,0.000499,0.007234,0.0
0264362948,2021,0.01396,0.18774,0.000499,0.007229,0.0
0329000307,2021,0.01007,0.00229,0.000499,0.005284,0.0
0237020213,2021,0.01413,0.20545,0.000499,0.007314,0.0
0225250719,2021,0.01409,0.4839,0.001488,0.007789,0.0
0137530614,2021,0.01418,0.20586,0.000499,0.007339,0.0
0254180122,2021,0.01402,0.20088,0.000816,0.007418,0.0
0316100302,2021,0.01399,0.10798,0.000499,0.007244,0.0
0436300410,2021,0.01403,0.00397,0.000499,0.007264,0.0
0202210217,2021,0.01416,0.10399,0.000816,0.007488,0.0
0219361516,2021,0.01399,0.09961,0.000816,0.007403,0.0
0216110813,2021,0.29465,0.43954,0.001488,0.148069,0.0
0254300829,2021,0.01397,0.19897,0.000816,0.007393,0.0
R064813,2021,0.01435,0.00997,0.000816,0.007583,0.0
0443230201,2021,0.17976,0.39872,0.001577,0.090669,0.0
0147600348,2021,0.01404,0.32402,0.001438,0.007739,0.0
0226100110,2021,0.01406,0.48678,0.001488,0.007774,0.0
0336100122,2021,0.014,0.00122,0.000816,0.007408,0.0
0138040234,2021,0.01413,0.10028,0.000816,0.007473,0.0
R42546,2021,0.04998,0.00095,0.000499,0.025239,0.0
0416070716,2021,0.01404,0.09229,0.000499,0.007269,0.0
0254301417,2021,0.01397,0.0008,0.0,0.006985,0.0
0268330309,2021,0.01396,0.00087,0.0,0.00698,0.0
0172150444,2021,0.0,0.00089,0.000499,0.000249,0.0
0419150528,2021,0.01403,0.02485,0.000816,0.007423,0.0
0409020101,2021,0.47736,0.00086,0.0,0.23868,0.0
0252430228,2021,0.01396,0.2653,0.000499,0.007229,0.0
0129150144,2021,0.0,0.00081,0.0,0.0,0.0
0256160405,2021,0.01008,0.10373,0.000499,0.005289,0.0
R075193,2021,0.2938,0.37955,0.001438,0.147619,0.0
0210120803,2021,0.01396,0.37942,0.001577,0.007769,0.0
0204130307,2021,0.01411,0.20305,0.000499,0.007304,0.0
0142270143,2021,0.01423,0.11595,0.000816,0.007523,0.0
0158090127,2021,0.01413,0.29917,0.000816,0.007473,0.0
0402040907,2021,0.01411,0.10029,0.000499,0.007304,0.0
0257060413,2021,0.01404,0.00092,0.000816,0.007428,0.0
0101250609,2021,0.01404,0.10008,0.000816,0.007428,0.0
0262160314,2021,0.01403,0.19963,0.000816,0.007423,0.0
0414400106,2021,0.01408,0.29954,0.000816,0.007448,0.0
