"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"NPA-2008-0010.01","Transit-Oriented Development Plaza Saltilo Station Area Plan-Plan Amendment","Amended Neighborhood Plan","02/01/2008","Closed","","TOD - TRANSIT ORIENTED DEVELOPMENT ZONING","999 - SEE COMMENTS","","The applicant is proposing to amend the Holly Neighborhood Plan","",""
"NPA-2009-0017.01","Crestview Neighborhood Plan Amendment","Amended Neighborhood Plan","07/08/2009","Closed","","VMU","","","City initiated NPA- related vmu zoning C14-2009-0065.","",""
"C12M-2011-0006","Southeast Travis County Municipal Utility District #4","Municipal Utility District (MUD)","03/30/2011","Approved","","N/A","","","The applicant is proposing to create a MUD.","",""
"NPA-2015-0015.01","Kingsbery Community Solar Project","Amended Neighborhood Plan","07/27/2015","Closed","","P-NP","SF-3-NP","0205200401","The applicant is proposing to Amend East Mlk Combined Neighborhood Plan.","30.26565966","-97.68754125"
"C814-97-0001.12","Leander Rehabilitation PUD Amendment #13","Planned Unit Development (PUD)","10/19/2018","Closed","","PUD - PLANNED UNIT DEVELOPMENT, to change conditions of zoning","PUD - PLANNED UNIT DEVELOPMENT","","The Applicant is proposing an amendment to the PUD land use plan to revise parking and access-related requirements.","",""
"C14-95-0129.01","EXPO CENTER SECTION I","Planned Development Agreement (PDA)","06/23/2011","Closed","","LI-PDA-NP","Insdustrial","","The applicant is requesting to amend a Planned Development Agreement.","",""
"C814-04-0055.05","Mueller","Planned Unit Development (PUD)","02/08/2023","Closed","","PUD, planned unit development, to 1) allow for the redistribution of residential dwelling units from one land use to some other areas, within the existing maximum allowable density limits of the PUD, and 2) clarify that ADUs are allowed to be built on rowhouse lots","PUD, planned unit development","","The Applicant is proposing an administrative amendment to the PUD to: 1) allow for the redistribution of residential dwelling units from one land use area to some other areas, within the existing maxi","",""
"C814-2012-0085.02","Texas Children's Hospital - Austin South Campus","Planned Unit Development (PUD)","01/27/2022","Closed","","PUD, planned unit development, to change conditions of zoning","PUD, planned unit development","0456180705","The Applicant is proposing to amend a Planned Unit Development, to 1) add a new land use parcel to be designated as CS-MU (Hospital Tract); 2) to require a minimum 2-Star Green Building Rating; 3) to","30.11353097","-97.81085442"
"C14T-03-0001","PIONEER HILL","Traditional Neighborhood District (TND)","12/08/2003","Approved","","","N/A","","","",""
"NPA-2021-0025.01","290 West and Scenic Brook","Amended Neighborhood Plan","03/12/2021","Closed","","","","","NPA","30.23320675","-97.90348578"
"C814-00-2063.05","Wildhorse Ranch PUD Administrative Amendment","Planned Unit Development (PUD)","03/27/2014","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is proposing an amendment to a previously approved PUD.","",""
"C814-04-0055.03","Mueller","Planned Unit Development (PUD)","01/28/2015","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is requesting a PUD Amendment to the RMMA PUD.","",""
"C814-01-0065","BEAR LAKE P.U.D.  (A.K.A. CIRCLE C TRACT 115)","Planned Unit Development (PUD)","04/20/2001","Closed","","PUD","RR","","","",""
"C814-2018-0154","Austin Green","Planned Unit Development (PUD)","12/19/2018","Expired","","PUD - PLANNED UNIT DEVELOPMENT","Unzoned","","The Applicant is proposing a Planned Unit Development and all associated improvements on 2,126.25 acres.

Note:  Case Expired per Mayor's Order No. 20211220-036 - Permit Expiration Date and Extensio","30.23187270","-97.62615701"
"NPA-2016-0010.02","East Sixth Street","Amended Neighborhood Plan","04/08/2016","Closed","","CS-MU-CO-NP","LI-CO-NP","","The applicant is amending a neighborhood plan from Industry to Mixed Use.","",""
"C12M-2011-0001","Fossil Creek Municipal Utility District","Municipal Utility District (MUD)","01/14/2011","Withdrawn","","N/A","","","The applicant is proposing to create a MUD.","",""
"C814-2007-0055","Pearson Place","Planned Unit Development (PUD)","04/24/2007","Withdrawn","","PUD - PLANNED UNIT DEVELOPMENT","LI - LIMITED INDUSTRIAL SERVICES","","The applicant is requesting a zoning change from LI/DR/CS-CO/County ETJ to PUD.  Approximately 756.81 acres.","",""
"C814-2012-0085","Estancia Hill Country Planned Unit Development","Planned Unit Development (PUD)","07/13/2012","Closed","","PUD - PLANNED UNIT DEVELOPMENT","N/A","0456180705","The Applicant is requesting to zone the properties to PUD (Planned Unit Development).","30.11353097","-97.81085442"
"C814-04-0055","RMMA REDEVELOPMENT (P.U.D ZONING, CITY INITIATED)","Planned Unit Development (PUD)","03/29/2004","Closed","","PUD","AV","","","",""
"NPA-2007-0009.01","Central East Austin NPA McMansion Ordinance Amendment","Amended Neighborhood Plan","07/19/2007","Withdrawn","","","","","The applicant is submitting a city initiated NPA.","",""
"C814-06-0109","LAKESHORE PUD","Planned Unit Development (PUD)","05/10/2006","Closed","","PUD","MF-3","","","",""
"NPA-2016-0005.01","Thrasher Ln Lots","Amended Neighborhood Plan","07/01/2016","Closed","","","","0312130114","The applicant is proposing to amend the Montopolis NPA FLUM change  from Commercial to Mixed Use.
**Scheduled Oct 25 PC and Dec 8 CC hearings"" - M Meredith","30.21780101","-97.70473619"
"NPA-2008-0003.01","MLK Jr. Blvd TOD Station Area Plan-Plan Amendment","Amended Neighborhood Plan","02/01/2008","Closed","","TOD - TRANSIT ORIENTED DEVELOPMENT ZONING","999 - SEE COMMENTS","","The applicant proposes to amend the Chestnut Plan Amendment","",""
