CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2017-0033,2017-08-03T00:00:00.000,9.0,2.0,"Flannigan, Troxclair",True
C14-2009-0151,2010-04-22T00:00:00.000,,,,False
C14-2016-0043,2016-11-10T00:00:00.000,10.0,0.0,,True
NPA-2012-0019.01,2013-01-31T00:00:00.000,,,,False
C814-06-0106.02,2014-06-26T00:00:00.000,,,,False
C14-2014-0101,2014-09-25T00:00:00.000,7.0,0.0,,True
C14-2016-0090,2017-03-23T00:00:00.000,,,,False
C14-2018-0035,2018-06-28T00:00:00.000,,,,False
C14H-2010-0032,2011-03-24T00:00:00.000,,,,False
C14-2017-0087,2017-09-28T00:00:00.000,,,,False
C14-2019-0068,2019-08-08T00:00:00.000,9.0,0.0,,True
C14-2014-0035,2014-05-01T00:00:00.000,,,,False
C14-2014-0153,2015-11-12T00:00:00.000,7.0,0.0,,True
NPA-2015-0008.01,2015-12-10T00:00:00.000,,,,False
C14-2010-0064,2010-12-16T00:00:00.000,,,,False
C14-2010-0203,2011-03-03T00:00:00.000,,,,False
C14-72-204,2019-08-08T00:00:00.000,,,,False
C14-2019-0153,2020-02-20T00:00:00.000,,,,False
C14-2019-0137,2020-04-09T00:00:00.000,,,,False
C14-2014-0011,2014-11-20T00:00:00.000,,,,False
C14-2017-0106,2018-09-20T00:00:00.000,,,,False
C14-2014-0163,2014-12-11T00:00:00.000,,,,False
C14-2012-0097,2012-12-13T00:00:00.000,,,,False
C14-2018-0123,2019-02-21T00:00:00.000,,,,False
C14-2014-0153,2014-11-20T00:00:00.000,7.0,0.0,,True
C14-2015-0120,2015-11-12T00:00:00.000,,,,False
C14-2019-0158,2020-01-23T00:00:00.000,,,,False
C14-2011-0103,2011-12-08T00:00:00.000,,,,False
C14-2012-0136,2013-02-14T00:00:00.000,,,,False
C14-2017-0106,2018-03-22T00:00:00.000,,,,False
C14-2015-0148,2016-02-11T00:00:00.000,,,,False
C14-2011-0132,2013-01-31T00:00:00.000,,,,False
C14-2019-0071,2019-08-08T00:00:00.000,,,,False
C14-2013-0158,2014-10-16T00:00:00.000,7.0,0.0,,True
C14-2013-0136,2014-04-17T00:00:00.000,,,,False
C14-2011-0093,2011-11-03T00:00:00.000,,,,False
C14-2011-0101,2011-11-10T00:00:00.000,,,,False
NPA-2018-0021.02,2019-10-03T00:00:00.000,,,,False
NPA-2016-0016.03,2016-11-10T00:00:00.000,,,,False
C14-2013-0110,2014-01-30T00:00:00.000,,,,False
C14-2011-0108,2011-11-03T00:00:00.000,,,,False
C14-2010-0087,2012-06-28T00:00:00.000,7.0,0.0,,True
C14-04-0181.SH,2012-06-28T00:00:00.000,,,,False
C14-2020-0005,2020-03-26T00:00:00.000,,,,False
C14-2013-0032,2013-08-22T00:00:00.000,,,,False
C14-2013-0098,2013-11-21T00:00:00.000,,,,False
C14-2012-0021,2012-06-28T00:00:00.000,,,,False
NPA-2013-0019.01,2014-01-23T00:00:00.000,,,,False
C14-2011-0127,2012-02-02T00:00:00.000,,,,False
C14-2013-0109,2013-11-21T00:00:00.000,,,,False
C14-2012-0006,2012-03-22T00:00:00.000,7.0,0.0,,True
C14-2017-0143,2018-02-01T00:00:00.000,,,,False
C14-2016-0049,2017-03-02T00:00:00.000,,,,False
NPA-2010-0012.01,2011-12-08T00:00:00.000,,,,False
C14-2011-0116,2012-03-01T00:00:00.000,,,,False
C14-2018-0108,2019-05-09T00:00:00.000,,,,False
C14-2010-0140,2011-03-24T00:00:00.000,,,,False
C14-2019-0124,2020-03-26T00:00:00.000,,,,False
C14-2017-0064,2017-09-28T00:00:00.000,,,,False
C14-2013-0134,2014-06-12T00:00:00.000,,,,False
C14-2011-0086,2012-01-12T00:00:00.000,,,,False
