CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-04-0030,2004-12-02T00:00:00.000,Z031,Austin City Council,"C14-04-0030 - Time Insurance, Inc. - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1405 and 1415 East Riverside ",akgy-tbxy,http://austintexas.gov/department/city-council/2004/20041202-REG.htm#Z031
C14-2018-0089,2019-09-19T00:00:00.000,124,Austin City Council,C14-2018-0089 2700 E. 5th Street - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2700 East 5th Street (Lady Bird Lake Watershed) l,akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190919-REG.htm#124
C14-2013-0060,2013-11-07T00:00:00.000,67,Austin City Council,C14-2013-0060 - Bluff Springs Food Mart - Approve second and third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 7101 Bluff Springs Road (Onion Creek W,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131107-REG.htm#067
NPA-2013-0022.01,2013-09-26T00:00:00.000,106,Austin City Council,"NPA-2013-0022.01 - 1511 South Congress Avenue (Congress Avenue Baptist Church) - Conduct a public hearing and approve an ordinance amending Ordinance No. 20050929-Z001, the Greater South River City Ne",akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130926-REG.htm#106
C14-2016-0085,2017-08-03T00:00:00.000,94,Austin City Council,C14-2016-0085 � Montopolis � E. Ben White Zoning � District 3 � Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 6700 and 6800 East B,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170803-REG.htm#094
C14-2016-0077,2016-11-10T00:00:00.000,39,Austin City Council,"C14-2016-0077 � Bouldin Courts � District 9 � Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 900, 904, 908, 1000 & 1002 South 2nd S",akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161110-REG.htm#039
C14-2017-0148,2020-02-06T00:00:00.000,72,Austin City Council,C14-2017-0148- Zen Garden -Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3443 Ed Bluestein Boulevard (Walnut Creek and Boggy Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200206-REG.htm#072
C14-2017-0100,2018-09-20T00:00:00.000,75,Austin City Council,C14-2017-0100 - Braker Lane Rezoning Part B - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 914 East Braker Lane (Wal,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180920-REG.htm#075
C14-2017-0094,2018-06-14T00:00:00.000,94,Austin City Council,C14-2017-0094 - Flats on Shady - District 3 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 1125 Shady Lane (Boggy Creek Watershed,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180614-REG.htm#094
C14-2011-0141,2013-05-09T00:00:00.000,52,Austin City Council,C14-2011-0141 - Peaceful Hill Condominiums - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8107 Peaceful Hill Lane and 501 H,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130509-REG.htm#052
C14-2013-0043,2013-09-26T00:00:00.000,118,Austin City Council,C14-2013-0043 - Fort Dessau-SF-6 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 13826 Dessau Road (Harris Branc,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130926-REG.htm#118
C14-2014-0011,2014-11-20T00:00:00.000,159,Austin City Council,C14-2014-0011A - Garza Ranch - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 3800 Ben Garza Lane (Williamson Creek Watershed-B,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141120-REG.htm#159
NPA-2008-0009.03,2008-12-11T00:00:00.000,108,Austin City Council,"NPA-2008-0009.03 - MLK - Conduct a public hearing and approve an ordinance amending Ordinance No. 021107-Z11, the East MLK Combined Neighborhood Plan, an element of the Austin Tomorrow Comprehensive P",akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081211-REG.htm#108
C14-2014-0037,2014-09-25T00:00:00.000,116,Austin City Council,C14-2014-0037 - The Sealy - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 801 West Wells Branch Parkway (Harris Branch Watersh,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140925-REG.htm#116
C14-03-0150,2004-01-29T00:00:00.000,Z011,Austin City Council,C14-03-0150 - Gilleland Zoning Change - Approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 606 West Grady Drive (Little Walnut Creek Watershed) fr,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040129-REG.htm#Z011
NPA-2019-0021.02,2020-05-21T00:00:00.000,60,Austin City Council,"NPA-2019-0021.02 - 6101 E. Oltorf Street -Conduct a public hearing and approve an ordinance amending Ordinance No. 20061116-055, the East Riverside/Oltorf Combined Neighborhood Plan, an element of the",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200521-REG.htm#060
C14-2008-0052,2008-08-07T00:00:00.000,73,Austin City Council,C14-2008-0052 - TJG - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 9609 Swanson's Ranch Road (Slaughter Creek W,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080807-REG.htm#073
NPA-07-0007.01,2007-04-12T00:00:00.000,28,Austin City Council,"NPA-07-0007.01 - Jamestown Condos - Conduct a public hearing to approve an ordinance amending Ordinance No. 000629-106, the North Austin Civic Association (NACA) Neighborhood Plan, an element of the A",akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070412-REG.htm#028
C14-2011-0132,2012-03-08T00:00:00.000,55,Austin City Council,"C14-2011-0132 - West 34th St. Redevelopment, Tract B - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3316 Grandv",akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120308-REG.htm#055
C14H-2017-0065,2017-11-09T00:00:00.000,83,Austin City Council,C14H-2017-0065 - Spencer and Ora Lee Nobles House - District 1- Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2008 E. 8th Street f,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171109-REG.htm#083
C14-2017-0036,2017-08-31T00:00:00.000,87,Austin City Council,C14-2017-0036 - Parker Creek Ranch Residential - District 1 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning and rezoning property locally known as 7620 Decker,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170831-REG.htm#087
NPA-2011-0012.01,2012-06-28T00:00:00.000,105,Austin City Council,"NPA-2011-0012.01 - 4020 Airport Blvd. - Conduct a public hearing and approve an ordinance amending Ordinance No. 020801-91, the Upper Boggy Creek Neighborhood Plan, an element of the Imagine Austin Co",akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120628-REG.htm#105
C14-2020-0042,2020-08-27T00:00:00.000,101,Austin City Council,C14-2020-0042 - 7135 E. Ben White Blvd - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7135 East Ben White Boulevard Service Road ,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#101
C814-88-0001.10,2014-02-13T00:00:00.000,65,Austin City Council,C814-88-0001.10 - Canyons @ Rob Roy Rezoning - Approve second/third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 800 North Capital of Texas Highway (B,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140213-REG.htm#065
C14-05-0113.01,2006-03-09T00:00:00.000,49,Austin City Council,"C14-05-0113.01 - East Riverside/Oltorf Neighborhood Plan, Tract 300 - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code rezoning property locally known as 100",akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060309-REG.htm#049
C14-2011-0091,2013-09-26T00:00:00.000,100,Austin City Council,"C14-2011-0091 - Jaylee, Ltd. - Approve second/third readings of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 1601 and 1645 East 6th Street (Lady Bird Lake Watersh",akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130926-REG.htm#100
C14-2007-0048,2008-07-24T00:00:00.000,130,Austin City Council,C14-2007-0048 - Fort Magruder 1 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3811 Wadford Street (East Bouldi,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080724-REG.htm#130
C14-06-0124,2006-11-02T00:00:00.000,57,Austin City Council,C14-06-0124 - Ardent 2 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1418 South Lamar Boulevard (West Bouldin ,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20061102-REG.htm#057
NPA-07-0017.01,2007-09-27T00:00:00.000,109,Austin City Council,"NPA-07-0017.01 - Austin Energy & Crestview Station - Conduct a public hearing and approve an ordinance amending Ordinance No. 041401-Z-2, the Crestview/Wooten Combined Neighborhood Plan, an element of",akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070927-REG.htm#109
C14-2014-0130,2014-11-06T00:00:00.000,110,Austin City Council,"C14-2014-0130 - Thaxton Properties, Inc. - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 7930 Thaxton Road (Onion Creek Waters",akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141106-REG.htm#110
C14-2017-0138,2019-05-09T00:00:00.000,30,Austin City Council,C14-2017-0138 -3232 and 3306 East Cesar Chavez Rezoning- Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3232 and 3306 East Cesar Ch,akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190509-REG.htm#030
C14-2014-0114,2014-11-20T00:00:00.000,165,Austin City Council,C14-2014-0114 - 11712 North Lamar Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 11712 North Lamar Boulevard (Walnut,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141120-REG.htm#165
C14-2019-0098,2020-09-17T00:00:00.000,81,Austin City Council,C14-2019-0098 - Shady Lane Mixed Use- Conduct a public hearing and approve second and third readings of an ordinance amending City Code Title 25 by rezoning property locally known as 914 Shady Lane (B,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200917-REG.htm#081
C14-2008-0203,2008-12-18T00:00:00.000,98,Austin City Council,C14-2008-0203 - Lake at Parkline - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as Pecan Park Blvd. and Lake Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081218-REG.htm#098
NPA-2012-0005.04,2013-01-17T00:00:00.000,92,Austin City Council,"NPA-2012-0005.04 - East Riverside Corridor Regulating Plan (Montopolis Neighborhood Planning Area) - Approve an ordinance amending Ordinance No. 010927-05, an element of the Imagine Austin Comprehensi",akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130117-REG.htm#092
C14-2015-0013,2015-04-02T00:00:00.000,37,Austin City Council,C14-2015-0013 � 2363 Seventy One � (District 2) � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 2363 East State Highway 71 Westb,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150402-REG.htm#037
NPA-2008-0018.01,2008-08-28T00:00:00.000,95,Austin City Council,"NPA-2008-0018.01 - Brentwood/Highland Neighborhood Plan Amendment - Approve second/third readings of an ordinance amending Ordinance No. 040513-30, the Brentwood/Highland Combined Neighborhood Plan, a",akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080828-REG.htm#095
C14-2017-0096,2018-02-01T00:00:00.000,107,Austin City Council,C14-2017-0096 - Walnut Park II - District 7 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 12139-12205 North Lamar Boulevard (Wal,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180201-REG.htm#107
C14-2017-0079,2017-09-28T00:00:00.000,88,Austin City Council,C14-2017-0079 � 3003 & 3005 Manchaca Road � District 5 � Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3003 & 3005 Manchaca Road (,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170928-REG.htm#088
C14-2014-0136,2015-08-20T00:00:00.000,53,Austin City Council,C14-2014-0136 � Cameron Apartments � District 1 � Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known 9201 Cameron Road (Little Walnut Creek Waters,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150820-REG.htm#053
C14H-2009-0050,2009-12-17T00:00:00.000,120,Austin City Council,C14H-2009-0050 - Goodfriend House - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2418 Harris Boulevard (Shoal Creek,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091217-REG.htm#120
C14-2016-0119,2017-03-02T00:00:00.000,49,Austin City Council,C14-2016-0119 � 3119 E Howard Lane � District 1 � Approve second and third readings of an ordinance amending City Code Title 25 by zoning property locally known as 3119 East Howard Lane (Harris Branch,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170302-REG.htm#049
NPA-2016-0010.02,2016-12-15T00:00:00.000,72,Austin City Council,"NPA-2016-0010.02 - East Sixth Street Village - District 3 - Approve second and third readings of an ordinance amending Ordinance No. 011213-43, the Holly Neighborhood Plan, an element of the Imagine A",akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161215-REG.htm#072
C14-2011-0038,2011-08-18T00:00:00.000,103,Austin City Council,C14-2011-0038 - Mountain Shadows - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8800 Sky Mountain Drive (Willia,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110818-REG.htm#103
C14-03-0147,2008-01-10T00:00:00.000,82,Austin City Council,C14-03-0147 (RCT) - 8700 Block of South 1st Street - Conduct a public hearing to amend Chapter 25-2 of the Austin City Code by terminating a restrictive covenant as it applies to the property locally ,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080110-REG.htm#082
C14-2019-0103,2020-01-23T00:00:00.000,98,Austin City Council,C14-2019-0103 - 9100 US-290 East- Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 9100 US 290 East (Walnut Creek Watershed) from lim,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200123-REG.htm#098
C14-2016-0043,2016-12-08T00:00:00.000,19,Austin City Council,C14-2016-0043 - East Sixth Street Village North - District 3 - Approve second and third readings of an ordinance amending City Code Title 25 by rezoning property locally known as 622 Pedernales Street,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161208-REG.htm#019
C14-04-0071,2004-09-02T00:00:00.000,Z009,Austin City Council,C14-04-0071 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8423 State Highway 71 West (Williamson Creek Watersh,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040902-REG.htm#Z009
C14-2015-0119,2016-03-24T00:00:00.000,31,Austin City Council,"C14-2015-0119 � Neal Mixed Use Zoning � District 9 � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 1507, 1509, 1511, 1601 and ",akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160324-REG.htm#031
C14-04-0054,2004-05-27T00:00:00.000,Z003,Austin City Council,C14-04-0054 - Manchaca Heights - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 11003 Manchaca Road (Slaughter Cree,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20040527-REG.htm#Z003
C14-2011-0117,2011-12-08T00:00:00.000,99,Austin City Council,C14-2011-0117 - Crestview Station Residential - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 950 Banyon Street (Wal,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20111208-REG.htm#099
C14-2009-0162,2010-04-08T00:00:00.000,45,Austin City Council,C14-2009-0162 - AAA Limousine - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11902 North Interstate Highway-35 ,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100408-REG.htm#045
C14-2010-0107,2010-11-18T00:00:00.000,84,Austin City Council,C14-2010-0107 - Greenshores Annexation Zoning #6 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as Greenshores Subdi,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20101118-REG.htm#084
C14H-2013-0001,2013-02-28T00:00:00.000,71,Austin City Council,C14H-2013-0001 - Old David Chapel / St. Paul Primitive Baptist Church - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally kno,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130228-REG.htm#071
NPA-2019-0015.02,2020-08-27T00:00:00.000,117,Austin City Council,"NPA-2019-0015.02 - Pecan Springs Residential - Conduct a public hearing and approve second and third readings amending Ordinance No.021107-Z-11, the East MLK Combined Neighborhood Plan, an element of ",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200827-REG.htm#117
NPA-2010-0008.01,2010-11-04T00:00:00.000,35,Austin City Council,"NPA-2010-0008.01 - 2205 E. 12th Street - Conduct a public hearing and approve an ordinance amending Ordinance No. 20011129-67, the Rosewood Neighborhood Plan, an element of the Austin Tomorrow Compreh",akgy-tbxy,http://austintexas.gov/department/city-council/2010/20101104-REG.htm#035
C14-05-0097,2005-09-29T00:00:00.000,Z008,Austin City Council,C14-05-0097 - Asian Center - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 901 W. Braker Lane (Walnut Creek Wate,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050929-REG.htm#Z008
C14-05-0009,2005-06-23T00:00:00.000,125,Austin City Council,C14-05-0009 - Brazos - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 11410 Manchaca Road (Slaughter Creek Watershed) from inte,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050623-REG.htm#125
C14-2020-0038,2020-10-15T00:00:00.000,66,Austin City Council,C14-2020-0038 - 508 Kemp Street - Conduct a public hearing and approve second and third readings of an ordinance amending City Code Title 25 by rezoning property locally known as 508 Kemp Street (Coun,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201015-REG.htm#066
C14-2011-0074,2011-09-22T00:00:00.000,75,Austin City Council,C14-2011-0074 - Southern Walnut Creek Hike and Bike Trail - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 5502 J,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110922-REG.htm#075
C14-2010-0005,2010-03-11T00:00:00.000,56,Austin City Council,C14-2010-0005 - Athena School Haussmann - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1405 & 1409 Morgan Lane ,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100311-REG.htm#056
C14-2009-0097,2010-06-24T00:00:00.000,108,Austin City Council,C14-2009-0097 - 11505 Anderson Mill Road Rezone - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11505 Anderson Road ,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100624-REG.htm#108
C14H-2009-0017,2009-11-05T00:00:00.000,67,Austin City Council,C14H-2009-0017 - Murray-Hatfield House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 408 W. 32nd Street (Walle,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091105-REG.htm#067
C14-06-0213,2008-02-28T00:00:00.000,99,Austin City Council,C14-06-0213 - Pleasant Valley Self Storage - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as the southeast corner ,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080228-REG.htm#099
C814-88-0001.10,2014-01-30T00:00:00.000,33,Austin City Council,C814-88-0001.10 - Canyons @ Rob Roy Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 800 North Capital of Texas Highwa,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140130-REG.htm#033
C14-2015-0118,2016-01-28T00:00:00.000,74,Austin City Council,C14-2015-0118 - Emerald Forest @ William Cannon Rezoning - District 2 - Approve third reading of an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 6707 Emerald Forest ,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160128-REG.htm#074
C14-2017-0132,2018-04-26T00:00:00.000,76,Austin City Council,C14-2017-0132 - 4515 South Congress Rezoning - District 3 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 4515 South Congress Aven,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180426-REG.htm#076
C14-2015-0043,2015-11-12T00:00:00.000,44,Austin City Council,C14-2015-0043 - Shady Lane Mixed Use - District 3 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 500 Shady Lane (Colorado Riv,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151112-REG.htm#044
C14-2008-0106,2008-07-24T00:00:00.000,123,Austin City Council,C14-2008-0106 - Lundelius-McDaniel Water Quality Retrofit Project - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known a,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080724-REG.htm#123
C14-2014-0175,2015-02-26T00:00:00.000,54,Austin City Council,C14-2014-0175A - Scott Airport Parking - (District 2) - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 2426 Cardinal Loop (Colora,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150226-REG.htm#054
C14-04-0181.SH,2012-12-13T00:00:00.000,87,Austin City Council,C14-04-0181.SH(RCA) - Shire's Court - Conduct a public hearing to amend a restrictive covenant on property locally known as 1910 1/2 Wickshire Lane (Country Club East Creek Watershed). Staff Recommend,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20121213-REG.htm#087
C14-2018-0077,2019-02-07T00:00:00.000,39,Austin City Council,C14-2018-0077 - Damac Commercial - Approve second and third readings of an ordinance amending City Code Title 25 by rezoning property locally known as 7712 FM 969 Road (Walnut Creek Watershed) from si,akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190207-REG.htm#039
NPA-2019-0003.01,2020-03-26T00:00:00.000,70,Austin City Council,"NPA-2019-0003.01 - David Chapel Missionary Baptist Church - Conduct a public hearing and approve an ordinance amending Ordinance No. 19990715-113 the Chestnut Neighborhood Plan, an element of the Imag",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200326-REG.htm#070
C14-2017-0025,2017-05-18T00:00:00.000,66,Austin City Council,C14-2017-0025 - Pompee-Clarke-Cook House - District 9 - Conduct a public hearing and approve an ordinance amending City Code Title 25-2 by rezoning property locally known as 2203 Nueces Street (Shoal ,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170518-REG.htm#066
C14-05-0023,2005-05-12T00:00:00.000,Z017,Austin City Council,C14-05-0023 - Murphy Tract - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 5029 Southwest Parkway (Barton Creek ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050512-REG.htm#Z017
C14H-2008-0023,2009-04-30T00:00:00.000,48,Austin City Council,C14H-2008-0023 - Bradford-Nohra House - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 4213 Avenue G (Waller Creek Wa,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090430-REG.htm#048
C14-2016-0020,2016-12-15T00:00:00.000,78,Austin City Council,C14-2016-0020 - Lantana  IV - District 8 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7717 Southwest Parkway (Williamson Creek ,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161215-REG.htm#078
C14-2014-0027,2014-06-12T00:00:00.000,103,Austin City Council,C14-2014-0027 - ACE Discount Glass - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 6308 Spicewood Springs Road (Bull Creek Water,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140612-REG.htm#103
C14-2008-0031,2008-12-11T00:00:00.000,89,Austin City Council,C14-2008-0031 - MLK Jr. Blvd. Station Area Plan - Approve third reading of an ordinance adopting the MLK Jr. Blvd. Station Area Plan and transit oriented development (TOD) district zoning for all prop,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081211-REG.htm#089
NPA-2014-0027.02,2014-11-20T00:00:00.000,153,Austin City Council,"NPA-2014-0027.02 - 1018 W. 31st Street - Conduct a public hearing and approve an ordinance amending Ordinance No. 20100923-102, the Central West Austin Combined Neighborhood Plan, an element of the Im",akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141120-REG.htm#153
C14-2012-0138,2013-02-14T00:00:00.000,74,Austin City Council,C14-2012-0138 - 7516 Lazy Creek Drive - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning property locally known as 7516 Lazy Creek Drive (Walnu,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130214-REG.htm#074
C14-04-0114,2005-07-28T00:00:00.000,Z001,Austin City Council,C14-04-0114 - Keesee Tract - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by zoning and rezoning property locally known as 10900-10915 Block of South,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050728-REG.htm#Z001
C14H-2007-0028,2008-02-14T00:00:00.000,94,Austin City Council,C14H-2007-0028 - Burch-Jackson House - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1706 Canterbury Street (Tow,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080214-REG.htm#094
C14-05-0018,2005-05-12T00:00:00.000,Z002,Austin City Council,C14-05-0018 Webb 3 Acre Tract - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 4615-4623 City Park Road (Lake Aus,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050512-REG.htm#Z002
C14-06-0162,2007-05-03T00:00:00.000,53,Austin City Council,C14-06-0162 and C14H-07-0002 - Los Abogados Gueros - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1214 East 7th,akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070503-REG.htm#053
C14-2017-0133,2018-03-08T00:00:00.000,18,Austin City Council,C14-2017-0133 - 4401 South Congress Rezoning - District 3 - Approve second and third readings of an ordinance amending City Code Title 25by rezoning property locally known as 4401 South Congress Avenu,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20180308-REG.htm#018
C14-2017-0098,2017-12-14T00:00:00.000,104,Austin City Council,C14-2017-0098 - Affordable Dream Homes - District 3 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2404 Thrasher Lane (Carson Cre,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171214-REG.htm#104
C14-04-0149.08,2005-04-28T00:00:00.000,Z006,Austin City Council,C14-04-0149.08 Old West Austin Neighborhood Plan rezoning at 1117 W. 9th Street. - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050428-REG.htm#Z006
