CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-2017-0028,2017-11-02T00:00:00.000,16,Austin City Council,C14-2017-0028 - Great Hills Mixed Use - District 10 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 9828 Great Hills Trail and 102,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171102-REG.htm#016
C14H-2020-0120,2020-12-10T00:00:00.000,83,Austin City Council,"C14H-2020-0120 - Mutual Building - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 905 Congress Avenue.  Applicant: Austin Nelsen, 9",akgy-tbxy,http://austintexas.gov/department/city-council/2020/20201210-REG.htm#083
C14-2012-0016,2012-04-05T00:00:00.000,84,Austin City Council,C14-2012-0016 - Estates of Travis Country - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 4806 1/2 Trail West Dr,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120405-REG.htm#084
C14-2014-0154,2014-11-20T00:00:00.000,171,Austin City Council,C14-2014-0154 - 13561 Pond Springs - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 13561 Pond Springs Road (Lake Creek Watershed,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20141120-REG.htm#171
C814-88-0001.08,2005-05-12T00:00:00.000,Z018,Austin City Council,C814-88-0001.08 - Gables at Westlake - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 3100-3320 North Capital of ,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050512-REG.htm#Z018
C14-2014-0114,2015-01-29T00:00:00.000,42,Austin City Council,C14-2014-0114 - 11712 North Lamar Rezoning - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 11712 North Lamar Boulevard (Walnut,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20150129-REG.htm#042
C14-2014-0041,2014-09-25T00:00:00.000,117,Austin City Council,C14-2014-0041 - New Tenant Project - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 10300 Anderson Mill Road (Lake Creek Watershe,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140925-REG.htm#117
C14-2009-0097,2009-12-10T00:00:00.000,54,Austin City Council,C14-2009-0097 - 11505 Anderson Mill Road Rezone - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11505 Anderson M,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20091210-REG.htm#054
C14-2015-0061,2015-11-19T00:00:00.000,84,Austin City Council,C14-2015-0061 - Townbridge Homes Rezoning - District 2 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 7513 and 7603 Cooper La,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151119-REG.htm#084
NPA-2019-0028.01,2019-12-05T00:00:00.000,91,Austin City Council,"NPA-2019-0028.01 - Wonderspaces -Conduct a public hearing and approve an ordinance amending Ordinance No. 20110113-059, the Heritage Hills/Windsor Hills Combined Neighborhood Plan, an element of the I",akgy-tbxy,http://austintexas.gov/department/city-council/2019/20191205-REG.htm#091
C14-04-0159,2004-12-16T00:00:00.000,Z006,Austin City Council,C14-04-0159 - Blackstone Apartments - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2910 Medical Arts Street (Wa,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20041216-REG.htm#Z006
C14-04-0021,2004-10-07T00:00:00.000,33,Austin City Council,C14-04-0021 - Central Austin Combined Neighborhood Plan (West University) rezoning - Approve third reading of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally kn,akgy-tbxy,http://austintexas.gov/department/city-council/2004/20041007-REG.htm#033
C14-2015-0129,2016-03-24T00:00:00.000,32,Austin City Council,C14-2015-0129 - 7804 Cooper Lane - District 5 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 7804 Cooper Lane (South Boggy Cr,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160324-REG.htm#032
C14-2008-0100,2008-08-21T00:00:00.000,61,Austin City Council,C14-2008-0100 - South Congress Storage Rezoning - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8008 South Congr,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20080821-REG.htm#061
C14-2018-0077,2018-11-01T00:00:00.000,44,Austin City Council,C14-2018-0077 Damac Commercial-Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 7712 FM 969 (Walnut Creek Watershed) from single fami,akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181101-REG.htm#044
C14-2009-0031,2009-05-21T00:00:00.000,50,Austin City Council,C14-2009-0031 - The Moore Redbird Project - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 313 Red Bird Lane (Wil,akgy-tbxy,http://austintexas.gov/department/city-council/2009/20090521-REG.htm#050
C14-2016-0079,2017-12-07T00:00:00.000,76,Austin City Council,C14-2016-0079 - 3212 E. Cesar Chavez Street - District 3 -Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 3212 East Cesar Chavez Str,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20171207-REG.htm#076
C14-2013-0150,2014-02-13T00:00:00.000,79,Austin City Council,C14-2013-0150 - Bethany United Methodist Church - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 9908-10010 Anderson Mill Road (L,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140213-REG.htm#079
C14-2016-0123,2017-01-26T00:00:00.000,87,Austin City Council,C14-2016-0123 - 6914 McNeil Dr. - District 6 - Conduct a public hearing and approve an ordinance amending City Code Title 25 by zoning property locally known as 6914 McNeil Drive (Rattan Creek Watersh,akgy-tbxy,http://austintexas.gov/department/city-council/2017/20170126-REG.htm#087
C14-2018-0089,2018-11-01T00:00:00.000,45,Austin City Council,"C14-2018-0089 - 1905 Keilbar- Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 1905 Keilbar Lane (Williamson Creek Watershed, South B",akgy-tbxy,http://austintexas.gov/department/city-council/2018/20181101-REG.htm#045
C14-2013-0057,2013-08-22T00:00:00.000,105,Austin City Council,C14-2013-0057 - City of Austin - Austin Water Utility - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 3500 West 35th Street (T,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130822-REG.htm#105
C14-2020-0001,2020-03-12T00:00:00.000,71,Austin City Council,C14-2020-0001 - Colton Bluff Springs Road - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 6917 Colton Bluff Springs Road (Marble C,akgy-tbxy,http://austintexas.gov/department/city-council/2020/20200312-REG.htm#071
C14-2008-0177,2008-10-23T00:00:00.000,85,Austin City Council,C14-2008-0177 - 6007 Fairway - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 6007 Fairway (Country Club East Wat,akgy-tbxy,http://austintexas.gov/department/city-council/2008/20081023-REG.htm#085
C14-2013-0150,2014-05-15T00:00:00.000,43,Austin City Council,C14-2013-0150 - Bethany United Methodist Church - Approve second/third readings of an ordinance amending City Code Chapter 25-2 by zoning property locally known as 9908-10010 Anderson Mill Road (Lake ,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140515-REG.htm#043
C14-2011-0131,2012-06-14T00:00:00.000,41,Austin City Council,"C14-2011-0131 - West 34th St. Redevelopment, Tract A - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 800 and 808",akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120614-REG.htm#041
C14-2016-0039,2016-10-13T00:00:00.000,29,Austin City Council,C14-2016-0039 - Thornton II - District 5 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2413 Thornton Road (West Bouldin Cree,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20161013-REG.htm#029
C14-05-0197.SH,2006-04-27T00:00:00.000,47,Austin City Council,C14-05-0197.SH - Banister Oaks - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1212 W. Ben White Boulevard (Boul,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060427-REG.htm#047
C14-2015-0139,2016-03-24T00:00:00.000,35,Austin City Council,C14-2015-0139 - New Office/Retail Space - District 6 - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by zoning property locally known as 11812 Millwright Parkway (L,akgy-tbxy,http://austintexas.gov/department/city-council/2016/20160324-REG.htm#035
C14-2011-0029,2011-07-28T00:00:00.000,123,Austin City Council,C14-2011-0029 - Colonial at Quarry Oaks - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by zoning and rezoning property locally known as 6263 McNeil Drive,akgy-tbxy,http://austintexas.gov/department/city-council/2011/20110728-REG.htm#123
C814-2012-0055,2013-01-31T00:00:00.000,65,Austin City Council,C814-2012-0055 - Covered Bridge Planned Unit Development - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 6714 Co,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20130131-REG.htm#065
C14-05-0190,2006-05-04T00:00:00.000,33,Austin City Council,C14-05-0190 - West 15th Street - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 515 West 15th Street (Shoal Creek Wat,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060504-REG.htm#033
C14H-2014-0001,2014-04-10T00:00:00.000,49,Austin City Council,C14H-2014-0001 - Baylor House - Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 1607 West 10th Street (Shoal Creek Watershed) fr,akgy-tbxy,http://austintexas.gov/department/city-council/2014/20140410-REG.htm#049
C14-2018-0080,2019-05-23T00:00:00.000,46,Austin City Council,C14-2018-0080 - 5101 East Oltorf - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 5101 East Oltorf Street (Country Club West Waters,akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190523-REG.htm#046
C14-06-0018,2006-06-08T00:00:00.000,107,Austin City Council,C14-06-0018- 6203 Berkman Drive - Conduct a public hearing and approve an ordinance amending Chapter 25 -2 of the Austin City Code by rezoning property locally known as 6203 Berkman Drive (Fort Branch,akgy-tbxy,http://austintexas.gov/department/city-council/2006/20060608-REG.htm#107
