case_number,nlp_svd_0,nlp_svd_1,nlp_svd_2,nlp_svd_3,nlp_svd_4,nlp_svd_5,nlp_svd_6,nlp_svd_7,nlp_svd_8,nlp_svd_9,nlp_svd_10,nlp_svd_11,nlp_svd_12,nlp_svd_13,nlp_svd_14,nlp_svd_15,nlp_svd_16,nlp_svd_17,nlp_svd_18,nlp_svd_19
C14-2018-0030,0.574205811322297,-0.08274691188299035,-0.11673469273827328,0.24376947393300535,-0.11432309816055379,-0.13280297891054185,0.1276299228355045,-0.08578748040553405,0.08441387549703376,0.07058288471240765,0.011570970223663072,0.04046578991538838,0.022791249568328308,-0.2188765698794734,0.0325327374597314,0.020819984872757925,-0.039679340055954956,-0.07100826650595789,0.0019567621704021133,0.08525364802795501
C14-2011-0103,0.46983600625008404,0.09763212847830516,-0.2085667857266621,-0.004632837795045729,0.09027953552786454,-0.09313022609601035,0.0850105020521141,0.045426696253466875,0.13184276677719636,-0.009454749345834665,0.01185846839301163,0.17284522727981297,-0.1328888576751487,0.11485463493266101,0.016640771091731458,-0.04355359562095602,-0.11360786150240897,0.037853507216624796,0.004975159363939474,-0.15956387868833347
C814-2012-0085.01,0.24185899181247641,-0.0063685235281166555,0.12218718697351398,-0.16498245342909953,-0.13479390299006597,0.18225228049331915,0.1355967137225399,-0.29224847189624475,-0.04546776545751185,0.19542252783028302,-0.1615703798688069,0.09412275625498577,-0.22990719732644851,0.20213163431596964,0.226612372806719,-0.12985594883292104,0.06156688721842249,-0.13427548495563688,-0.09027776834618192,0.15233713053952663
C14-2013-0141,0.4453715353399233,-0.028040455354098485,-0.031758984581396615,0.2230357473794139,-0.15364325478430177,-0.08768461799133989,0.07021017080370556,-0.1530245279569027,-0.0026495101378450747,0.09756814139212794,0.0028058660928815342,-0.02789312352616435,-0.007522878946241082,-0.021258721123301818,-0.03206826311658009,0.014249572232701704,-0.08618739092496866,0.10206255650662065,0.047614668159659874,-0.02105444459231114
C14H-2017-0055,0.6622326579208732,-0.0363192292552982,-0.1327677662205154,0.34154743816862254,0.3471488467146935,0.013134702049433861,0.027865708827289254,0.07791637797063466,0.29332577297252,0.10786696158363589,-0.1355129709429678,0.13003626043192026,-0.0005298098862786237,0.07475139658859536,-0.07142928936180071,-0.06677901961891804,0.02783472011034952,0.07250332928415923,0.004899982891548514,0.01971679215837962
NPA-2017-0016.05,0.23453423196314796,0.32196741745944907,0.10871868299171791,0.02266706123332981,-0.0295045554073345,0.015568059953737688,-0.05904144610038808,0.0012467123535055704,-0.025173548355294464,0.08176891549144467,0.013002215869003075,-0.007538189319941969,0.10122327669651988,-0.06886583434051873,0.005202601194577749,-0.03674681838837797,0.03748298820503434,-0.1418553402252828,-0.0400086868071757,-0.07188077627566854
C14-2010-0195,0.5180126598543422,-0.1652310656331627,-0.21628776272229178,-0.2292721250329495,0.08205527603358574,0.09923921686979419,-0.15714214550371375,-0.020081338813793453,-0.035567766730461366,0.07882816619330468,0.06187010630858507,-0.1436902831269861,0.027742857997879306,0.14353394908973238,-0.022702654528040867,0.010382980691573767,-0.20111549778607193,-0.07469646903735104,0.03689431810325095,0.09924235653908507
C14-2016-0121,0.2972166883273364,-0.08480164902794236,0.06060913195754058,-0.12645806484372468,-0.1683034300344843,0.12518730712290693,0.2613430796813398,-0.3326667360107538,-0.19279159976592622,0.23696541013914427,-0.28556421383006103,0.12398261142016175,0.1490644682705139,0.13412782347456736,-0.232963501646916,0.200775694142983,0.03067302910690363,0.0507523529981011,0.06482108248067851,-0.09813396015349177
C14-2011-0043,0.57343225657599,-0.1167862352654315,-0.38835860895438806,0.18900876049640944,-0.07963040627256328,0.09760523983597126,-0.2968014944764795,-0.2389004550347543,0.008864909967981973,0.07555487974419098,0.13316711940007014,-0.14114702812944424,-0.13494072845376015,-0.1905954719470041,0.10259587081814037,0.18764782531473256,-0.013687979344935729,0.06478183113763757,0.05169150210169136,-0.03248286569674847
C14-2012-0099,0.5411065923436902,-0.1472801134743506,0.1721368246031528,-0.23969587778106133,0.1372879720327777,-0.15019618920381353,-0.03578421121034895,-0.09880641200936387,0.12896854855234036,0.10410958915651573,0.03654447293789134,-0.0535044526464621,-0.09796426267355862,-0.05210976945382125,-0.05983865222619626,-0.07663954630648577,-0.06670359033496458,-0.01650695703619098,-0.00047425092833793946,-0.0028152834039644895
C14-2015-0114,0.32418057280942114,-0.057000258374401175,0.15720715250427586,0.0979502535488462,-0.1053933091676296,-0.10972334588934393,-0.07234385450505855,-0.09198937075571628,0.06906545370680507,-0.04230757940012131,0.024355673086557936,0.056716993197680574,0.05389433794689602,0.004637330337552956,-0.011381491576721999,0.00869838713705773,0.007087809242947355,-0.06058636131956658,-0.01024563485349986,-0.04042938873196146
C14-2014-0070,0.5400262365956349,-0.1104801665568857,0.1208019052635535,0.26444736289582443,-0.10381637886067747,-0.13161169128421574,-0.07271212731598112,-0.06570994859730957,0.05209055379690505,-0.023280802946494223,0.12207493506686325,-0.0159545682121722,-0.020858531931640032,0.10430508755184245,-0.025662590129888425,-0.06073134105171023,0.023917010682895968,0.11340488940151008,0.008720993526782576,-0.001789172757164158
C14H-2017-0107,0.3934182299606124,-0.11839111839705692,0.15610527680505065,0.2742922141187483,0.4967698809342402,0.3501418241345465,0.19195872689090007,-0.019229183030191582,-0.14104122695226584,-0.03636952443336813,-0.12130516513085765,-0.11827257144138036,0.11036678668189694,-0.14394031521058742,0.07013814336665565,-0.09270367356804027,0.04291264081218567,0.005827151880115196,-0.02703264190176912,0.03020267673174133
NPA-2019-0027.02,0.37655446539241066,0.5710225614660963,0.07456282878926133,-0.003516979049081472,0.007599571184173688,0.0001790928500116721,-0.0037390577707165015,-0.049588731398475014,0.01216680668169985,-0.0014104670772485154,0.03540852704024374,0.04767379542512518,0.01913012919202339,-0.05247338929322292,-0.000600925038468429,0.01420642377184401,0.007822623030396719,-0.002989434734281227,-0.017982837353538852,0.020214568721115943
C14-2016-0059,0.4360465677519732,-0.0956812599603593,0.13052667004080118,0.24804216822451897,0.011022050912656282,0.29910152210710494,0.08372445155918704,0.22751972171297583,0.02811617161381418,0.08782559895862989,-0.09252322598083701,-0.14608322443082736,0.04095522742552886,-0.09899340885258068,0.048922288241669144,0.03075157727434601,-0.00568130264926121,-0.0046750296470191135,-0.06210986193042715,0.030200787266063196
C14-2012-0028,0.22626191732980372,-0.020831109978705707,0.08857728092237827,-0.0617616050984679,-0.056640680046226764,0.23640752085014963,0.27077446263186494,-0.016937632879428954,0.027007399708938118,0.018309133184047564,0.6138123187767435,0.1248504725392084,0.02497589988272286,0.02461059629940924,-0.12243205181458909,0.018631619558024917,-0.05061690236134754,0.15437316728115152,-0.2242854067989334,0.05921954487989681
