CASE_NUMBER,Meeting_Date,backup_links,document_count
C14-2018-0030,2018-06-28T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=301640""}, {""title"": ""Ordinance No. 20180628-108"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=301640""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300808""}, {""title"": ""20180628-108, Agenda Backup: Draft Ordinance"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300808""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300770""}, {""title"": ""20180628-108, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300770""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300635""}, {""title"": ""20180628-108, Agenda Backup: Staff Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=300635""}]",8
C14-2011-0103,2011-10-20T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161460""}, {""title"": ""20111208-120, Agenda Backup: Memo (C14 2011 0103)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161460""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161459""}, {""title"": ""20111208-120, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=161459""}]",4
C814-2012-0085.01,2014-12-11T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224286""}, {""title"": ""Ordinance No. 20141211-177"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=224286""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223175""}, {""title"": ""20141211-177, Agenda Backup: Ordinance (C814-2012-0085.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223175""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223174""}, {""title"": ""20141211-177, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223174""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223176""}, {""title"": ""20141211-177, Agenda Backup: Staff Report (C814 2012-0085.01)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223176""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223618""}, {""title"": ""20141211-177, Agenda Late Backup"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=223618""}]",10
C14-2013-0141,2014-02-13T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206353""}, {""title"": ""Ordinance No. 20140213-068"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=206353""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205298""}, {""title"": ""20140213-068, Agenda Backup: Ordinance (C14 2013 0141)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205298""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205297""}, {""title"": ""20140213-068, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205297""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205299""}, {""title"": ""20140213-068, Agenda Backup: Staff Report (C14 2013 0141)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=205299""}]",8
C14H-2017-0055,2018-08-09T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=285111""}, {""title"": ""20170928-073, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=285111""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=285112""}, {""title"": ""20170928-073, Agenda Backup: Staff Indefinite Postponement Request"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=285112""}]",4
NPA-2017-0016.05,2018-08-09T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=305455""}, {""title"": ""20180920-072, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=305455""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=305349""}, {""title"": ""20180920-072, Agenda Backup: Staff Postponement Memo"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=305349""}]",4
C14-2010-0195,2011-01-27T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147983""}, {""title"": ""Ordinance No. 20110127-048"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147983""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147793""}, {""title"": ""20110127-048, Agenda Backup (Draft Ordinance)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147793""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147794""}, {""title"": ""20110127-048, Agenda Backup (Recommendation for Council Action)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147794""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147795""}, {""title"": ""20110127-048, Agenda Backup (Staff Report)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147795""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147884""}, {""title"": ""20110127-048, Agenda Late Backup Part 1 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147884""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147885""}, {""title"": ""20110127-048, Agenda Late Backup Part 2 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=147885""}]",12
C14-2016-0121,2018-02-01T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286739""}, {""title"": ""20171102-017, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286739""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286713""}, {""title"": ""20171102-017, Agenda Backup: Staf Report"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=286713""}]",4
C14-2011-0043,2011-08-04T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156881""}, {""title"": ""20110818-096, Agenda Backup: Ordinance (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156881""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156882""}, {""title"": ""20110818-096, Agenda Backup: Petition (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156882""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156879""}, {""title"": ""20110818-096, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156879""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156880""}, {""title"": ""20110818-096, Agenda Backup: Staff Report (c14 2011 0043)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=156880""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157017""}, {""title"": ""20110818-096, Agenda Late Backup Part 1 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157017""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157018""}, {""title"": ""20110818-096, Agenda Late Backup Part 2 of 2"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=157018""}]",12
C14-2012-0099,2012-10-18T00:00:00.000,"[{""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181842""}, {""title"": ""Ordinance No. 20121213-077"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181842""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181229""}, {""title"": ""20121213-077, Agenda Backup: Ordinance (c14 2012 0099)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181229""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181227""}, {""title"": ""20121213-077, Agenda Backup: Recommendation for Council Action"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181227""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181228""}, {""title"": ""20121213-077, Agenda Backup: Staff Report (c14 2012 0099)"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=181228""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=182915""}, {""title"": ""20121213-077, Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=182915""}, {""title"": """", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=182184""}, {""title"": ""20121213-077, Restrictive Covenant"", ""url"": ""https://services.austintexas.gov/edims/document.cfm?id=182184""}]",12
