standardized_tcad_id,CASE_NUMBER,SUB_TYPE,APPLICATION_START_DATE,env_id,LATITUDE,LONGITUDE,zoning_delta_intensity
0228170105,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170106,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170107,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170603,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170111,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170217,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170218,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170212,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170310,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170601,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170522,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170520,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170519,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170518,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170515,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170514,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170513,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170219,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170511,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170510,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170509,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170512,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170506,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170311,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170507,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170312,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170313,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170314,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170108,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170316,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170502,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170503,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170505,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0228170315,NPA-2021-0029.01.SH,Amended Neighborhood Plan,01/11/2021,Regime_2,30.32953157,-97.6974438,1.0
0203000202,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203000205,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203020104,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203000218,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
